,AWS Mph WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,AWD_cos,AWD_sin,Sample Value
2017-04-01 00:00:00,5.989,15.55,38.74,29.41,0.9980267284282716,-0.06279051952931326,4.0
2017-04-01 01:00:00,5.059,11.3,39.46,29.44,0.9781476007338056,-0.20791169081775987,6.0
2017-04-01 02:00:00,5.39,11.3,39.08,29.45,0.999925369660452,-0.012217000835246654,7.0
2017-04-01 03:00:00,5.233,11.59,38.95,29.47,0.9916711623830904,-0.12879559657756298,6.0
2017-04-01 04:00:00,3.614,8.68,38.86,29.49,0.841510781945306,-0.5402403204776552,8.0
2017-04-01 05:00:00,2.051,4.716,36.87,29.49,0.6238795967093866,-0.7815204724188184,11.0
2017-04-01 06:00:00,2.134,4.19,35.21,29.51,0.1357155724343046,-0.9907478404714436,16.0
2017-04-01 07:00:00,2.335,5.277,36.02,29.55,0.3616245700820922,-0.9323238012155123,20.0
2017-04-01 08:00:00,3.432,9.59,40.24,29.57,0.9494254776419039,-0.3139924559674049,16.0
2017-04-01 09:00:00,4.208,7.87,43.56,29.58,0.9958033304184755,0.09151899872415878,7.0
2017-04-01 10:00:00,3.8,7.975,46.39,29.6,0.9620276715860859,0.2729519355173252,6.0
2017-04-01 11:00:00,6.496,10.53,47.52,29.6,0.7106766975124694,0.7035187500079654,11.0
2017-04-01 12:00:00,7.494,11.13,47.04,29.6,0.760859180527446,0.6489170265967007,18.0
2017-04-01 13:00:00,7.483,10.74,46.61,29.59,0.5970652563891975,0.8021926698823056,19.0
2017-04-01 14:00:00,7.742999999999999,12.15,45.99,29.58,0.31266650227898785,0.9498629681973204,7.0
2017-04-01 15:00:00,7.569,13.02,46.36,29.57,0.14608302856241187,0.9892723329629883,9.0
2017-04-01 16:00:00,6.3660000000000005,10.81,46.55,29.57,0.01919744239968964,0.9998157121216442,16.0
2017-04-01 17:00:00,5.787000000000001,9.48,47.0,29.57,0.16332596224162232,0.9865721616069694,5.0
2017-04-01 18:00:00,4.999,9.52,44.14,29.57,0.031410759078128396,0.9995065603657316,14.0
2017-04-01 19:00:00,2.987,6.502999999999999,44.39,29.57,-0.2957080500440468,0.9552783621223436,9.0
2017-04-01 20:00:00,2.441,5.347,46.18,29.57,-0.8290375725550416,0.5591929034707469,19.0
2017-04-01 21:00:00,2.417,4.506,45.28,29.58,-0.9372819894918916,-0.3485720473218151,17.0
2017-04-01 22:00:00,1.631,3.2089999999999996,43.83,29.58,-0.9923319378854887,0.12360147674049311,28.0
2017-04-01 23:00:00,1.278,2.7880000000000003,43.04,29.58,-0.6018150231520483,-0.7986355100472928,29.0
2017-04-02 00:00:00,1.7169999999999999,2.964,42.08,29.58,-0.9719610005785462,-0.23514211310259023,24.0
2017-04-02 01:00:00,1.435,3.5239999999999996,42.58,29.57,-0.9003187714021935,0.43523109937232757,16.0
2017-04-02 02:00:00,1.536,4.05,42.09,29.54,-0.8964864303834406,0.4430711908241797,16.0
2017-04-02 03:00:00,2.7680000000000002,4.996,42.13,29.53,-0.981627183447664,-0.19080899537654472,11.0
2017-04-02 04:00:00,2.5980000000000003,5.136,42.87,29.54,-0.941470544812038,-0.3370952584230819,10.0
2017-04-02 05:00:00,2.155,5.171,43.74,29.54,-0.9521293927421386,0.305695304963106,7.0
2017-04-02 06:00:00,2.36,4.436,43.74,29.55,-0.9999756307053947,-0.00698126029796144,11.0
2017-04-02 07:00:00,2.106,5.662000000000001,44.23,29.55,-0.998440764181981,0.05582150499316356,9.0
2017-04-02 08:00:00,3.878,7.1339999999999995,46.03,29.56,-0.9792228106217659,-0.2027872953565121,10.0
2017-04-02 09:00:00,4.305,8.05,49.39,29.55,-0.8633955506067718,-0.5045276238150191,12.0
2017-04-02 10:00:00,7.162999999999999,13.23,55.36,29.53,-0.9966373868180366,-0.08193850863004058,8.0
2017-04-02 11:00:00,7.754,14.67,56.81,29.51,-0.9884938868086836,0.15126082024721876,4.0
2017-04-02 12:00:00,8.06,15.79,58.2,29.48,-0.9366721892483976,0.35020738125946754,5.0
2017-04-02 13:00:00,6.845,13.44,57.45,29.45,-0.8925858184521254,0.45087754068943103,3.0
2017-04-02 14:00:00,6.916,13.3,56.57,29.42,-0.941470544812038,0.33709525842308213,6.0
