,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2018-08-01 00:00:00,1617,2.197,237.9,24.08,4.436,68.2,29.32,68.42,13.6
1,2018-08-01 01:00:00,1618,2.901,242.2,17.39,7.169,67.63,29.32,67.9,13.6
2,2018-08-01 02:00:00,1619,4.793,249.8,16.04,9.27,66.84,29.32,67.38,13.6
3,2018-08-01 03:00:00,1620,5.184,255.5,16.18,9.9,66.4,29.32,66.85,13.62
4,2018-08-01 04:00:00,1621,4.72,236.3,20.04,8.96,65.89,29.32,66.29,13.62
5,2018-08-01 05:00:00,1622,5.095,239.8,17.42,9.45,65.26,29.33,65.5,13.62
6,2018-08-01 06:00:00,1623,5.48,245.6,12.24,8.89,65.79,29.34,66.1,13.61
7,2018-08-01 07:00:00,1624,5.442,253.4,15.74,10.36,68.1,29.34,69.49,13.63
8,2018-08-01 08:00:00,1625,6.397,262.7,15.64,10.92,72.46,29.34,73.32,13.6
9,2018-08-01 09:00:00,1626,5.899,251.9,18.5,10.01,75.81,29.34,78.87,13.61
10,2018-08-01 10:00:00,1627,6.311,241.4,25.92,11.23,78.86,29.35,90.8,13.63
11,2018-08-01 11:00:00,1628,7.317,234.4,30.28,15.65,81.1,29.34,94.0,13.63
12,2018-08-01 12:00:00,1629,7.33,243.3,27.83,14.67,82.1,29.32,97.4,13.63
13,2018-08-01 13:00:00,1630,7.148,247.0,30.19,16.21,83.3,29.31,99.4,13.64
14,2018-08-01 14:00:00,1631,7.536,213.7,22.79,15.09,85.1,29.29,99.5,13.41
15,2018-08-01 15:00:00,1632,9.16,223.1,25.17,18.28,84.6,29.28,98.8,13.59
16,2018-08-01 16:00:00,1633,10.85,260.6,17.64,19.82,81.7,29.31,94.1,14.72
17,2018-08-01 17:00:00,1634,6.043,223.6,22.66,15.44,78.4,29.31,88.1,13.59
18,2018-08-01 18:00:00,1635,4.058,181.6,25.38,8.89,79.85,29.3,87.6,14.67
19,2018-08-01 19:00:00,1636,4.536,206.0,19.23,9.13,79.11,29.29,87.6,14.57
20,2018-08-01 20:00:00,1637,4.252,198.0,18.17,8.75,76.69,29.3,83.3,13.62
21,2018-08-01 21:00:00,1638,4.691,186.6,15.36,9.69,75.54,29.31,79.86,13.59
22,2018-08-01 22:00:00,1639,5.777,201.9,17.82,10.92,74.6,29.32,77.88,13.6
23,2018-08-01 23:00:00,1640,6.19,213.4,15.19,10.99,74.19,29.33,76.81,13.6
24,2018-08-02 00:00:00,1641,7.024,213.2,13.82,13.09,72.91,29.33,75.28,13.63
25,2018-08-02 01:00:00,1642,7.833,213.0,12.9,13.65,72.88,29.32,74.45,13.63
26,2018-08-02 02:00:00,1643,7.27,211.4,14.03,14.0,72.87,29.31,74.45,13.63
27,2018-08-02 03:00:00,1644,7.238,212.9,14.52,14.56,71.95,29.31,73.98,13.63
28,2018-08-02 04:00:00,1645,6.632,218.7,16.16,12.29,71.31,29.31,73.22,13.62
29,2018-08-02 05:00:00,1646,5.006,213.3,18.16,9.76,70.24,29.32,71.8,13.62
30,2018-08-02 06:00:00,1647,5.355,193.4,16.06,11.48,69.45,29.33,70.61,13.62
31,2018-08-02 07:00:00,1648,9.3,213.1,14.09,15.37,71.6,29.33,73.52,13.63
32,2018-08-02 08:00:00,1649,10.83,213.0,13.29,18.94,74.35,29.33,76.38,13.6
33,2018-08-02 09:00:00,1650,9.95,224.0,19.31,20.8,76.81,29.33,80.3,13.59
34,2018-08-02 10:00:00,1651,9.25,221.3,18.11,18.52,80.6,29.32,90.7,13.61
35,2018-08-02 11:00:00,1652,9.98,225.1,20.42,18.03,83.7,29.31,94.4,13.63
36,2018-08-02 12:00:00,1653,11.22,215.1,18.88,22.52,85.4,29.3,95.5,13.63
37,2018-08-02 13:00:00,1654,12.12,232.6,18.14,24.87,86.5,29.29,96.4,13.63
38,2018-08-02 14:00:00,1655,12.35,235.0,20.54,25.04,86.3,29.29,97.2,13.62
39,2018-08-02 15:00:00,1656,12.71,234.1,19.78,24.34,86.0,29.28,97.4,13.63
40,2018-08-02 16:00:00,1657,10.28,255.1,20.49,19.82,84.4,29.28,95.6,13.64
41,2018-08-02 17:00:00,1658,8.01,260.7,18.07,16.39,83.5,29.3,91.8,13.64
42,2018-08-02 18:00:00,1659,8.1,324.1,67.9,15.51,81.2,29.31,91.5,13.63
43,2018-08-02 19:00:00,1660,6.69,49.63,18.14,15.12,77.06,29.32,86.2,13.63
44,2018-08-02 20:00:00,1661,5.016,40.23,14.62,9.13,75.83,29.33,80.3,13.63
45,2018-08-02 21:00:00,1662,4.153,31.47,20.56,8.75,74.86,29.35,76.92,13.63
46,2018-08-02 22:00:00,1663,3.307,19.0,28.79,5.872,73.79,29.35,75.54,13.63
47,2018-08-02 23:00:00,1664,3.622,42.37,26.52,7.204,72.92,29.36,74.19,13.63
48,2018-08-03 00:00:00,1665,1.999,159.9,72.05,4.856,72.26,29.36,73.57,13.63
49,2018-08-03 01:00:00,1666,1.238,259.2,75.47,2.613,71.32,29.37,71.95,13.63
50,2018-08-03 02:00:00,1667,1.08,320.6,90.7,2.788,70.56,29.36,70.76,13.63
