,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2018-12-01 00:00:00,4545,7.824,92.8,17.7,15.23,35,29.36,37.27,13.62
1,2018-12-01 01:00:00,4546,7.108,95.9,20.76,15.37,34.37,29.34,37.23,13.61
2,2018-12-01 02:00:00,4547,6.856,92.6,16.56,12.6,33.75,29.32,36.89,13.62
3,2018-12-01 03:00:00,4548,7.143,90.6,17.59,13.37,34.12,29.29,36.43,13.62
4,2018-12-01 04:00:00,4549,9.25,81.3,17.83,17.09,34.93,29.25,36.85,13.62
5,2018-12-01 05:00:00,4550,9.61,89.2,17.09,19.23,35.58,29.21,37.31,13.62
6,2018-12-01 06:00:00,4551,10.06,86.2,18.23,20.94,35.91,29.17,37.47,13.62
7,2018-12-01 07:00:00,4552,10.78,82.9,16.98,21.89,36.31,29.15,37.85,13.63
8,2018-12-01 08:00:00,4553,10.08,92.9,17.87,21.54,36.82,29.14,38.35,13.63
9,2018-12-01 09:00:00,4554,11.25,78.46,15.53,22.52,37.13,29.1,38.54,13.61
10,2018-12-01 10:00:00,4555,13.66,84.8,17.8,32.82,37.94,29.02,39.27,13.46
11,2018-12-01 11:00:00,4556,9.03,103.4,25.41,27.71,39.01,29.0,40.24,13.62
12,2018-12-01 12:00:00,4557,7.341,105.5,25.44,17.44,40.43,28.97,41.48,13.63
13,2018-12-01 13:00:00,4558,7.349,107.2,25.24,17.19,41.74,28.93,43.16,13.63
14,2018-12-01 14:00:00,4559,7.99,105.1,24.47,21.4,41.12,28.88,43.32,13.62
15,2018-12-01 15:00:00,4560,8.89,110.8,27.1,22.66,41.27,28.83,42.96,13.63
16,2018-12-01 16:00:00,4561,7.556,112.8,27.89,19.96,41.87,28.82,43.04,13.63
17,2018-12-01 17:00:00,4562,7.197,101.1,20.08,15.69,41.79,28.8,42.96,13.63
18,2018-12-01 18:00:00,4563,6.032,100.4,22.32,14.07,41.98,28.78,43.39,13.63
19,2018-12-01 19:00:00,4564,5.403,90.9,20.91,12.64,42.62,28.77,43.94,13.63
20,2018-12-01 20:00:00,4565,6.07,81.8,14.86,11.34,42.18,28.75,44.02,13.63
21,2018-12-01 21:00:00,4566,8.35,76.36,12.85,14.0,42.06,28.72,43.86,13.63
22,2018-12-01 22:00:00,4567,6.196,97.4,24.87,14.7,43.12,28.69,44.65,13.63
23,2018-12-01 23:00:00,4568,5.144,292.2,91.4,22.94,46.28,28.72,46.7,13.63
24,2018-12-02 00:00:00,4569,2.922,69.77,51.93,8.22,44.39,28.69,46.7,13.63
25,2018-12-02 01:00:00,4570,2.268,184.6,29.2,4.436,43.63,28.72,45.36,13.63
26,2018-12-02 02:00:00,4571,3.19,174.6,16.6,5.837,45.65,28.71,46.35,13.63
27,2018-12-02 03:00:00,4572,2.927,171.0,14.38,5.207,45.86,28.7,46.47,13.63
28,2018-12-02 04:00:00,4573,3.235,183.5,18.84,7.169,46.09,28.7,46.9,13.63
29,2018-12-02 05:00:00,4574,3.499,165.3,20.51,7.099,46.37,28.69,47.1,13.63
30,2018-12-02 06:00:00,4575,2.142,172.7,44.48,6.608,45.69,28.69,47.02,13.63
31,2018-12-02 07:00:00,4576,3.474,142.6,24.11,9.31,45.92,28.68,46.82,13.63
32,2018-12-02 08:00:00,4577,7.987,196.2,21.47,15.58,47.13,28.68,46.99,13.63
33,2018-12-02 09:00:00,4578,8.99,227.6,17.24,17.82,46.99,28.7,47.78,13.63
34,2018-12-02 10:00:00,4579,8.95,239.8,15.51,19.93,45.99,28.73,47.98,13.63
35,2018-12-02 11:00:00,4580,10.79,245.9,13.62,17.89,45,28.74,48.26,13.63
36,2018-12-02 12:00:00,4581,11.12,239.9,16.55,21.12,44.19,28.74,47.82,13.63
37,2018-12-02 13:00:00,4582,10.49,245.1,15.21,21.92,43.21,28.76,47.74,13.62
38,2018-12-02 14:00:00,4583,9.1,234.8,15.54,18.17,41.85,28.78,45.52,13.63
39,2018-12-02 15:00:00,4584,9.83,246.2,14.56,18.24,40.69,28.79,43.94,13.63
40,2018-12-02 16:00:00,4585,8.35,236.7,13.7,16.0,40.16,28.82,41.64,13.63
41,2018-12-02 17:00:00,4586,7.686,230.2,14.83,15.05,39.13,28.85,40.71,13.63
42,2018-12-02 18:00:00,4587,7.197,241.0,13.28,14.49,39.07,28.88,39.89,13.63
43,2018-12-02 19:00:00,4588,7.008,242.8,13.64,13.3,39.1,28.91,39.97,13.63
44,2018-12-02 20:00:00,4589,8.06,269.1,17.92,15.3,39.08,28.94,40.05,13.63
45,2018-12-02 21:00:00,4590,7.646,319.5,16.62,14.95,37.12,28.97,39.82,13.63
46,2018-12-02 22:00:00,4591,6.644,323.3,16.28,12.39,36.2,29.01,38.31,13.61
47,2018-12-02 23:00:00,4592,6.077,321.2,18.83,12.53,36.7,29.04,37.42,13.63
48,2018-12-03 00:00:00,4593,6.891,318.4,16.22,13.58,36.2,29.07,37.54,13.63
49,2018-12-03 01:00:00,4594,7.503,318.6,16.57,15.58,35.94,29.09,37.2,13.61
