,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2019-02-01 00:00:00,6033,1.647,245.0,27.59,3.314,1.275,29.67,4.111,13.6
1,2019-02-01 01:00:00,6034,1.103,278.1,65.0,2.929,2.621,29.65,5.33,13.6
2,2019-02-01 02:00:00,6035,1.367,216.2,48.4,4.436,3.586,29.64,6.4,13.6
3,2019-02-01 03:00:00,6036,2.678,117.3,45.74,6.398,5.614,29.63,7.848,13.61
4,2019-02-01 04:00:00,6037,4.145,87.0,17.06,8.64,5.943,29.62,8.67,13.6
5,2019-02-01 05:00:00,6038,4.517,81.0,17.09,8.12,6.364,29.62,9.02,13.6
6,2019-02-01 06:00:00,6039,4.59,72.64,14.89,8.33,6.564,29.63,9.32,13.6
7,2019-02-01 07:00:00,6040,3.544,83.8,18.7,7.204,6.779,29.65,9.58,13.6
8,2019-02-01 08:00:00,6041,3.677,79.58,14.8,6.538,6.478,29.67,9.41,13.6
9,2019-02-01 09:00:00,6042,4.027,89.2,19.76,7.414,9.04,29.67,13.99,13.61
10,2019-02-01 10:00:00,6043,4.788,85.0,14.96,8.99,11.11,29.67,20.6,13.61
11,2019-02-01 11:00:00,6044,4.432,81.0,23.6,7.73,13.07,29.66,33.78,13.61
12,2019-02-01 12:00:00,6045,3.669,137.3,46.57,8.57,16.38,29.66,41.52,13.62
13,2019-02-01 13:00:00,6046,2.969,79.63,59.2,6.573,18.25,29.65,45.99,13.62
14,2019-02-01 14:00:00,6047,4.276,68.48,28.07,7.905,19.19,29.65,46.94,13.62
15,2019-02-01 15:00:00,6048,5.529,73.85,13.93,8.64,18.91,29.64,42.89,13.62
16,2019-02-01 16:00:00,6049,3.092,77.46,36.0,6.854,20.48,29.63,37.89,13.62
17,2019-02-01 17:00:00,6050,4.465,167.7,18.24,8.78,19.95,29.63,35.2,13.62
18,2019-02-01 18:00:00,6051,4.681,157.0,13.67,9.27,17.92,29.63,25.99,13.61
19,2019-02-01 19:00:00,6052,4.965,164.7,13.87,8.92,16.28,29.64,19.84,13.61
20,2019-02-01 20:00:00,6053,4.256,174.4,13.94,7.87,15.47,29.64,17.13,13.61
21,2019-02-01 21:00:00,6054,5.056,171.0,13.17,11.16,14.61,29.62,15.46,13.61
22,2019-02-01 22:00:00,6055,5.822,178.5,13.91,10.43,14.08,29.61,14.73,13.61
23,2019-02-01 23:00:00,6056,4.951,192.9,15.01,9.31,13.75,29.6,14.32,13.61
24,2019-02-02 00:00:00,6057,4.644,197.8,17.48,10.5,13.95,29.59,13.99,13.61
25,2019-02-02 01:00:00,6058,6.538,200.2,12.27,12.04,14.56,29.56,14.44,13.61
26,2019-02-02 02:00:00,6059,6.942,196.7,12.75,12.6,15.57,29.54,15.34,13.61
27,2019-02-02 03:00:00,6060,6.367,197.3,12.55,11.83,16.21,29.52,16.12,13.61
28,2019-02-02 04:00:00,6061,7.562,199.5,11.45,12.88,17.83,29.49,17.45,13.61
29,2019-02-02 05:00:00,6062,6.917,201.3,11.09,11.3,20.33,29.46,19.57,13.61
30,2019-02-02 06:00:00,6063,6.694,207.0,11.37,11.59,24.61,29.44,22.8,13.61
31,2019-02-02 07:00:00,6064,9.04,213.5,12.47,18.21,28.33,29.44,26.72,13.61
32,2019-02-02 08:00:00,6065,8.31,218.0,16.65,18.21,29.47,29.45,29.53,13.62
33,2019-02-02 09:00:00,6066,10.95,214.9,11.22,17.3,32.2,29.44,35.62,13.62
34,2019-02-02 10:00:00,6067,8.95,219.4,16.11,17.26,34.66,29.44,44.92,13.62
35,2019-02-02 11:00:00,6068,10.7,214.8,12.93,18.94,36.8,29.43,47.46,13.63
36,2019-02-02 12:00:00,6069,8.34,220.4,17.03,16.28,39.12,29.41,49.59,13.63
37,2019-02-02 13:00:00,6070,9.92,215.5,13.61,18.0,39.88,29.38,49.43,13.63
38,2019-02-02 14:00:00,6071,11.01,214.4,10.3,20.24,40.42,29.36,47.3,13.62
39,2019-02-02 15:00:00,6072,8.25,205.5,13.84,15.23,39.89,29.34,45.71,13.62
