,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2018-01-01 00:00:00,7858,9.5,293.3,12.13,17.79,2.419,29.99,5.908,14.77
1,2018-01-01 01:00:00,7859,9.86,291.4,11.0,18.0,1.016,30.0,4.428,14.75
2,2018-01-01 02:00:00,7860,8.86,292.2,12.28,15.02,-0.275,30.01,3.008,14.76
3,2018-01-01 03:00:00,7861,10.03,296.7,12.64,17.02,-1.576,30.01,1.707,14.75
4,2018-01-01 04:00:00,7862,9.36,300.1,13.08,19.26,-2.912,30.01,0.666,14.75
5,2018-01-01 05:00:00,7863,8.76,296.0,14.13,16.53,-3.989,30.02,-0.481,14.75
6,2018-01-01 06:00:00,7864,8.47,289.3,12.97,15.97,-4.813,30.02,-1.457,14.76
7,2018-01-01 07:00:00,7865,8.85,282.2,15.01,17.33,-5.64,30.03,-2.242,14.74
8,2018-01-01 08:00:00,7866,7.953,278.3,12.77,15.26,-6.539,30.05,-2.99,14.75
9,2018-01-01 09:00:00,7867,9.33,269.4,12.06,17.65,-6.344,30.05,3.008,14.76
10,2018-01-01 10:00:00,7868,11.21,270.9,12.03,16.98,-4.601,30.06,11.28,14.76
11,2018-01-01 11:00:00,7869,11.0,270.2,12.53,17.79,-2.248,30.06,16.44,14.76
12,2018-01-01 12:00:00,7870,10.42,274.6,14.83,18.28,0.258,30.04,19.29,14.75
13,2018-01-01 13:00:00,7871,8.94,274.1,14.36,15.83,2.027,30.02,21.78,14.77
14,2018-01-01 14:00:00,7872,8.45,276.0,14.18,13.9,3.987,30.01,22.56,14.77
15,2018-01-01 15:00:00,7873,8.92,258.5,16.44,15.05,4.51,30.01,21.54,14.75
16,2018-01-01 16:00:00,7874,9.34,246.9,15.11,14.6,3.01,30.03,17.85,13.6
17,2018-01-01 17:00:00,7875,8.75,246.3,12.05,14.74,0.59,30.05,12.0,13.59
18,2018-01-01 18:00:00,7876,9.98,247.5,10.58,15.37,-1.722,30.06,3.834,13.56
19,2018-01-01 19:00:00,7877,8.4,254.3,12.4,14.49,-3.214,30.06,0.097,13.56
