,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2019-07-01 00:00:00,9633,2.454,252.6,42.49,4.541,72.19,29.34,73.67,13.65
1,2019-07-01 01:00:00,9634,2.464,248.6,47.99,5.031,71.4,29.33,72.45,13.65
2,2019-07-01 02:00:00,9635,3.9,185.3,22.34,7.66,70.67,29.32,71.7,13.65
3,2019-07-01 03:00:00,9636,8.13,252.7,31.26,15.62,70.7,29.34,71.4,13.65
4,2019-07-01 04:00:00,9637,6.659,248.0,14.0,12.39,70.4,29.35,71.4,13.65
5,2019-07-01 05:00:00,9638,4.479,259.8,18.29,8.33,69.57,29.36,70.71,13.65
6,2019-07-01 06:00:00,9639,4.405,264.3,13.75,8.33,70.83,29.37,72.56,13.65
7,2019-07-01 07:00:00,9640,4.801,267.1,11.57,8.71,73.97,29.38,77.51,13.65
8,2019-07-01 08:00:00,9641,7.844,287.9,15.84,14.56,77.46,29.39,81.7,13.65
9,2019-07-01 09:00:00,9642,4.824,318.4,32.24,11.2,79.73,29.38,85.1,13.65
10,2019-07-01 10:00:00,9643,9.13,294.1,20.13,16.04,82.5,29.38,95.7,13.65
11,2019-07-01 11:00:00,9644,6.917,49.19,77.85,13.27,82.6,29.37,97.6,13.66
12,2019-07-01 12:00:00,9645,8.16,84.4,16.17,14.46,81.0,29.34,99.3,13.66
13,2019-07-01 13:00:00,9646,6.272,77.66,16.35,12.25,82.0,29.34,102.9,13.65
14,2019-07-01 14:00:00,9647,6.342,78.77,18.75,11.16,81.9,29.33,101.2,13.65
15,2019-07-01 15:00:00,9648,6.225,78.36,19.61,11.8,80.3,29.32,101.5,13.65
16,2019-07-01 16:00:00,9649,5.357,75.11,20.13,10.39,80.9,29.31,95.4,13.64
17,2019-07-01 17:00:00,9650,4.313,81.6,18.4,7.064,83.4,29.29,97.8,13.65
18,2019-07-01 18:00:00,9651,4.343,86.3,17.2,7.485,82.9,29.28,97.9,13.65
19,2019-07-01 19:00:00,9652,3.767,87.7,19.54,6.643,81.4,29.28,95.3,13.65
20,2019-07-01 20:00:00,9653,2.777,99.4,20.48,6.118,78.47,29.29,90.4,13.64
21,2019-07-01 21:00:00,9654,1.133,153.2,44.47,4.4,78.49,29.3,82.4,13.65
22,2019-07-01 22:00:00,9655,2.023,179.9,23.23,3.945,79.01,29.3,79.97,13.65
23,2019-07-01 23:00:00,9656,2.96,198.3,14.08,5.452,78.73,29.29,79.58,13.64
24,2019-07-02 00:00:00,9657,3.151,222.3,19.18,6.749,79.66,29.28,79.81,13.64
25,2019-07-02 01:00:00,9658,5.445,233.9,12.9,9.55,79.97,29.27,80.1,13.64
26,2019-07-02 02:00:00,9659,5.571,238.3,13.06,9.31,79.32,29.26,80.1,13.65
27,2019-07-02 03:00:00,9660,6.849,247.3,11.21,12.57,78.36,29.27,79.7,13.65
28,2019-07-02 04:00:00,9661,7.567,244.5,11.83,12.85,77.63,29.27,79.09,13.65
29,2019-07-02 05:00:00,9662,4.95,232.1,13.74,10.43,76.84,29.27,78.54,13.65
30,2019-07-02 06:00:00,9663,5.155,230.1,14.36,10.18,77.15,29.27,79.64,13.64
31,2019-07-02 07:00:00,9664,7.138,246.8,13.03,12.39,79.37,29.28,81.4,13.66
32,2019-07-02 08:00:00,9665,6.371,246.8,16.08,12.39,82.7,29.28,84.5,13.66
33,2019-07-02 09:00:00,9666,7.108,241.4,20.43,13.13,86.0,29.27,89.2,13.64
34,2019-07-02 10:00:00,9667,7.852,237.9,23.34,17.02,87.8,29.27,98.1,13.65
35,2019-07-02 11:00:00,9668,9.01,231.5,23.51,16.46,89.8,29.26,99.5,13.66
