,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2017-07-01 00:00:00,3442,3.667,283.5,31.74,9.1,71.27,29.2,72.61,13.61
1,2017-07-01 01:00:00,3443,5.215,264.3,13.12,9.55,70.87,29.19,71.35,13.61
2,2017-07-01 02:00:00,3444,4.904,273.2,12.13,9.38,69.76,29.19,70.81,13.61
3,2017-07-01 03:00:00,3445,4.325,267.8,14.28,8.05,68.96,29.18,69.83,13.61
4,2017-07-01 04:00:00,3446,4.624,262.1,14.73,9.97,68.59,29.2,69.05,13.61
5,2017-07-01 05:00:00,3447,4.45,260.2,15.12,8.29,67.97,29.24,68.47,13.61
6,2017-07-01 06:00:00,3448,4.803,252.3,14.0,8.68,68.31,29.25,69.93,13.61
7,2017-07-01 07:00:00,3449,4.973,244.9,17.76,9.17,70.76,29.26,72.56,13.61
8,2017-07-01 08:00:00,3450,5.937,231.4,16.11,10.99,73.32,29.28,75.07,13.61
9,2017-07-01 09:00:00,3451,8.05,276.1,18.52,15.83,76.97,29.29,80.1,13.61
10,2017-07-01 10:00:00,3452,8.09,286.4,22.51,14.81,79.3,29.29,91.1,13.63
11,2017-07-01 11:00:00,3453,6.695,30.62,81.6,14.42,78.52,29.29,92.3,13.63
12,2017-07-01 12:00:00,3454,6.442,88.4,50.37,17.23,77.28,29.3,90.9,13.63
13,2017-07-01 13:00:00,3455,9.11,258.2,39.31,19.86,82.3,29.29,93.9,13.61
14,2017-07-01 14:00:00,3456,11.3,259.2,17.77,21.08,82.6,29.29,93.9,13.64
15,2017-07-01 15:00:00,3457,11.87,263.3,17.7,20.91,82.8,29.29,93.1,13.64
16,2017-07-01 16:00:00,3458,12.54,261.5,19.8,27.22,82.5,29.29,91.1,13.61
17,2017-07-01 17:00:00,3459,12.31,266.8,18.26,26.76,82.1,29.29,89.4,13.64
18,2017-07-01 18:00:00,3460,11.95,266.4,15.77,22.94,81.3,29.29,88.5,13.64
19,2017-07-01 19:00:00,3461,9.92,268.5,17.81,18.77,79.7,29.3,86.5,13.63
20,2017-07-01 20:00:00,3462,7.228,269.8,14.1,14.95,77.98,29.32,83.3,13.63
21,2017-07-01 21:00:00,3463,3.634,261.2,14.89,7.379,75.57,29.34,78.21,13.63
22,2017-07-01 22:00:00,3464,3.338,257.8,18.38,7.309,73.38,29.36,74.76,13.63
23,2017-07-01 23:00:00,3465,4.119,261.6,14.6,7.59,71.98,29.37,72.5,13.62
24,2017-07-02 00:00:00,3466,3.279,269.8,10.86,5.522,70.39,29.38,71.21,13.62
25,2017-07-02 01:00:00,3467,2.78,223.5,17.72,4.786,68.46,29.37,69.58,13.62
26,2017-07-02 02:00:00,3468,3.442,250.2,15.7,6.188,68.0,29.37,67.61,13.61
27,2017-07-02 03:00:00,3469,3.206,236.0,19.2,6.714,66.22,29.37,66.76,13.63
28,2017-07-02 04:00:00,3470,3.764,233.2,17.38,7.064,65.28,29.38,65.36,13.63
29,2017-07-02 05:00:00,3471,3.746,253.2,20.05,8.15,64.43,29.39,64.57,13.61
30,2017-07-02 06:00:00,3472,3.993,266.5,19.35,8.61,66.05,29.4,67.85,13.61
31,2017-07-02 07:00:00,3473,4.796,229.9,18.3,10.15,68.95,29.42,69.63,13.61
32,2017-07-02 08:00:00,3474,6.618,229.9,19.01,12.04,71.86,29.43,72.66,13.61
33,2017-07-02 09:00:00,3475,8.54,241.7,17.91,14.67,75.34,29.43,77.88,13.61
34,2017-07-02 10:00:00,3476,8.38,230.1,21.62,14.18,77.85,29.42,87.3,13.61
35,2017-07-02 11:00:00,3477,9.0,236.3,20.16,17.79,80.3,29.42,89.0,13.61
36,2017-07-02 12:00:00,3478,9.28,236.8,19.43,19.33,82.2,29.41,93.1,13.61
37,2017-07-02 13:00:00,3479,8.33,235.4,24.99,16.25,84.7,29.4,96.5,13.61
38,2017-07-02 14:00:00,3480,8.77,237.2,23.09,17.26,87.0,29.38,98.0,13.61
39,2017-07-02 15:00:00,3481,9.38,216.5,18.0,18.73,87.9,29.36,98.6,13.61
40,2017-07-02 16:00:00,3482,9.69,236.5,20.13,17.75,88.0,29.35,97.0,13.63
41,2017-07-02 17:00:00,3483,11.0,242.9,18.32,20.73,87.9,29.32,96.4,13.61
42,2017-07-02 18:00:00,3484,8.99,274.4,72.91,22.13,81.8,29.35,94.2,13.61
43,2017-07-02 19:00:00,3485,3.785,114.7,34.17,10.01,72.27,29.37,82.8,13.61
44,2017-07-02 20:00:00,3486,6.04,166.8,16.62,11.97,71.37,29.36,77.62,13.61
45,2017-07-02 21:00:00,3487,6.538,192.8,14.19,12.36,71.27,29.36,73.22,13.6
46,2017-07-02 22:00:00,3488,4.485,199.5,24.56,9.27,71.17,29.37,71.95,13.62
47,2017-07-02 23:00:00,3489,2.016,214.8,26.19,3.875,70.75,29.37,71.4,13.63
48,2017-07-03 00:00:00,3490,1.449,185.9,51.23,2.753,69.93,29.38,70.71,13.62
49,2017-07-03 01:00:00,3491,1.531,241.5,28.0,3.84,69.99,29.38,69.88,13.61
50,2017-07-03 02:00:00,3492,2.667,231.9,17.89,5.382,70.21,29.37,69.53,13.61
51,2017-07-03 03:00:00,3493,4.229,246.4,64.98,12.36,69.81,29.38,70.27,13.63
52,2017-07-03 04:00:00,3494,3.81,21.77,16.4,9.62,67.13,29.39,70.22,13.6
53,2017-07-03 05:00:00,3495,3.363,16.11,20.85,7.555,67.33,29.39,68.09,13.63
54,2017-07-03 06:00:00,3496,2.408,359.8,25.03,7.87,67.78,29.4,69.68,13.63
