,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2019-06-01 00:00:00,8913,7.631,226.0,17.27,15.58,70.7,29.17,72.41,13.65
1,2019-06-01 01:00:00,8914,7.59,227.6,14.68,16.0,70.4,29.16,71.3,13.65
2,2019-06-01 02:00:00,8915,7.432,216.2,14.49,13.13,69.0,29.16,70.56,13.65
3,2019-06-01 03:00:00,8916,6.591,227.2,15.41,12.71,68.65,29.16,69.39,13.65
4,2019-06-01 04:00:00,8917,7.862,242.5,12.21,15.19,68.69,29.16,69.15,13.65
5,2019-06-01 05:00:00,8918,8.23,240.1,10.8,13.41,67.65,29.16,68.9,13.65
6,2019-06-01 06:00:00,8919,8.82,238.1,11.29,15.16,67.91,29.16,69.39,13.65
7,2019-06-01 07:00:00,8920,9.43,244.3,13.53,15.58,69.91,29.16,72.15,13.65
8,2019-06-01 08:00:00,8921,9.21,241.3,13.36,15.83,72.45,29.15,75.75,13.65
9,2019-06-01 09:00:00,8922,8.57,258.7,16.92,16.77,72.76,29.17,76.92,13.65
10,2019-06-01 10:00:00,8923,4.721,273.1,30.65,10.01,75.1,29.16,89.9,13.65
11,2019-06-01 11:00:00,8924,7.258,18.48,43.82,20.49,69.45,29.16,91.4,13.65
12,2019-06-01 12:00:00,8925,8.73,41.31,26.81,25.29,66.92,29.15,86.0,13.65
13,2019-06-01 13:00:00,8926,10.16,14.94,23.12,21.19,62.44,29.16,82.0,13.65
14,2019-06-01 14:00:00,8927,6.469,58.51,30.16,11.87,64.43,29.14,79.58,13.65
15,2019-06-01 15:00:00,8928,4.558,90.4,25.46,9.69,64.01,29.1,79.58,13.65
16,2019-06-01 16:00:00,8929,3.646,89.9,77.61,14.28,66.66,29.08,72.41,13.65
17,2019-06-01 17:00:00,8930,7.003,85.7,66.37,32.47,67.97,29.07,73.52,13.47
18,2019-06-01 18:00:00,8931,7.107,48.06,49.51,22.98,55.81,29.13,69.58,13.64
19,2019-06-01 19:00:00,8932,4.481,60.22,70.84,11.83,58.15,29.13,60.39,13.64
20,2019-06-01 20:00:00,8933,2.463,291.3,85.2,6.959,57.57,29.13,60.09,13.64
21,2019-06-01 21:00:00,8934,7.492,3.896,23.05,15.58,55.18,29.15,58.86,13.64
22,2019-06-01 22:00:00,8935,6.619,1.907,21.84,14.46,53.98,29.17,56.76,13.64
23,2019-06-01 23:00:00,8936,5.851,355.5,23.36,13.44,54.03,29.17,55.11,13.64
24,2019-06-02 00:00:00,8937,5.78,7.793,19.81,10.99,54.07,29.19,54.52,13.64
25,2019-06-02 01:00:00,8938,3.877,350.2,23.34,9.55,54.12,29.18,54.48,13.64
26,2019-06-02 02:00:00,8939,5.471,357.1,24.27,14.21,55.08,29.18,55.57,13.64
27,2019-06-02 03:00:00,8940,5.063,3.483,21.7,13.37,54.79,29.19,55.7,13.64
28,2019-06-02 04:00:00,8941,3.62,11.92,17.91,7.66,54.81,29.2,55.7,13.64
29,2019-06-02 05:00:00,8942,5.581,16.14,15.57,10.29,54.12,29.22,54.14,13.63
30,2019-06-02 06:00:00,8943,6.487,14.38,16.0,12.53,54.69,29.24,55.78,13.64
31,2019-06-02 07:00:00,8944,7.203,1.304,21.5,14.28,55.45,29.26,57.1,13.64
32,2019-06-02 08:00:00,8945,5.676,346.7,21.33,12.5,57.28,29.28,59.3,13.64
33,2019-06-02 09:00:00,8946,8.46,7.44,21.48,16.81,59.4,29.3,63.84,13.63
34,2019-06-02 10:00:00,8947,10.86,8.71,21.19,19.12,60.5,29.32,71.9,13.64
35,2019-06-02 11:00:00,8948,11.79,21.76,17.73,20.7,60.39,29.34,72.15,13.65
36,2019-06-02 12:00:00,8949,10.35,38.12,19.93,20.7,60.66,29.34,74.81,13.65
37,2019-06-02 13:00:00,8950,7.596,72.02,18.88,14.6,60.66,29.33,78.43,13.64
38,2019-06-02 14:00:00,8951,7.476,71.68,18.38,12.99,60.77,29.34,78.81,13.65
39,2019-06-02 15:00:00,8952,8.77,70.5,16.65,13.76,59.86,29.34,78.38,13.64
40,2019-06-02 16:00:00,8953,7.36,63.7,20.25,12.46,58.53,29.34,75.65,13.64
41,2019-06-02 17:00:00,8954,4.622,82.8,26.67,9.31,59.56,29.35,73.52,13.64
42,2019-06-02 18:00:00,8955,4.46,82.8,23.37,8.22,60.87,29.34,73.57,13.65
43,2019-06-02 19:00:00,8956,4.092,88.4,20.39,7.975,60.14,29.34,71.45,13.64
44,2019-06-02 20:00:00,8957,3.268,74.26,18.7,5.907,58.24,29.34,66.06,13.64
45,2019-06-02 21:00:00,8958,3.103,52.61,16.92,6.363,56.82,29.35,59.78,13.63
46,2019-06-02 22:00:00,8959,4.296,49.8,16.4,7.414,55.89,29.36,57.18,13.64
47,2019-06-02 23:00:00,8960,4.81,47.3,15.19,9.13,56.14,29.37,56.08,13.63
48,2019-06-03 00:00:00,8961,8.23,34.92,12.31,16.21,54.04,29.39,55.91,13.63
49,2019-06-03 01:00:00,8962,7.237,35.05,14.28,13.79,53.19,29.4,54.56,13.64
50,2019-06-03 02:00:00,8963,6.271,36.66,15.08,12.11,52.09,29.42,53.19,13.64
51,2019-06-03 03:00:00,8964,5.938,48.69,15.18,11.06,52.01,29.43,52.03,13.64
52,2019-06-03 04:00:00,8965,7.042,63.69,17.92,15.93,52.73,29.44,52.07,13.64
53,2019-06-03 05:00:00,8966,8.07,79.89,19.54,17.89,54.33,29.46,53.31,13.64
