,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2018-03-01 00:00:00,9274,6.057,2.856,20.33,12.57,36.5,29.18,38.08,13.62
1,2018-03-01 01:00:00,9275,7.101,7.387,19.0,14.88,37.26,29.17,38.73,13.62
2,2018-03-01 02:00:00,9276,6.595,7.899,21.6,12.64,37.51,29.16,39.01,13.63
3,2018-03-01 03:00:00,9277,8.4,22.14,15.53,16.91,37.37,29.12,38.93,13.63
4,2018-03-01 04:00:00,9278,7.558,19.04,19.99,15.79,37.4,29.09,38.58,13.62
5,2018-03-01 05:00:00,9279,7.079,12.7,20.22,13.55,37.71,29.09,38.81,13.63
6,2018-03-01 06:00:00,9280,10.36,356.0,25.38,25.32,37.16,29.1,38.81,13.63
7,2018-03-01 07:00:00,9281,13.61,8.2,18.58,26.2,37.04,29.11,38.35,13.62
8,2018-03-01 08:00:00,9282,11.82,1.058,22.63,26.41,36.73,29.13,38.04,13.62
9,2018-03-01 09:00:00,9283,12.28,9.58,19.69,25.6,36.14,29.16,37.77,13.62
10,2018-03-01 10:00:00,9284,11.74,18.27,21.02,20.66,36.19,29.17,37.54,13.62
11,2018-03-01 11:00:00,9285,10.2,2.559,22.16,19.37,36.73,29.2,38.16,13.62
12,2018-03-01 12:00:00,9286,11.85,348.1,21.55,23.71,36.78,29.23,38.77,13.63
13,2018-03-01 13:00:00,9287,12.28,348.6,21.99,28.16,36.7,29.24,40.59,13.63
14,2018-03-01 14:00:00,9288,14.75,347.8,21.97,29.95,36.04,29.28,40.9,13.63
15,2018-03-01 15:00:00,9289,14.05,353.9,24.16,28.2,35.52,29.33,42.57,13.63
16,2018-03-01 16:00:00,9290,10.39,0.187,23.35,23.92,36.3,29.37,43.74,13.62
17,2018-03-01 17:00:00,9291,9.6,4.969,22.47,22.94,36.41,29.4,43.86,13.62
18,2018-03-01 18:00:00,9292,8.17,7.587,20.53,16.7,35.93,29.43,40.63,13.62
19,2018-03-01 19:00:00,9293,6.546,5.162,21.09,13.72,35.16,29.46,37.12,13.62
20,2018-03-01 20:00:00,9294,5.357,3.312,20.98,12.15,35.16,29.48,35.43,13.62
21,2018-03-01 21:00:00,9295,3.923,6.926,19.96,8.15,34.54,29.5,34.16,13.62
22,2018-03-01 22:00:00,9296,3.795,358.8,22.42,8.54,34.28,29.53,33.17,13.62
23,2018-03-01 23:00:00,9297,5.457,6.642,18.57,10.01,34.39,29.56,33.44,13.62
24,2018-03-02 00:00:00,9298,5.754,354.0,21.94,13.13,34.65,29.59,34.32,13.62
25,2018-03-02 01:00:00,9299,7.678,350.3,22.81,19.79,34.6,29.62,35.16,13.62
26,2018-03-02 02:00:00,9300,6.042,334.5,29.96,14.14,34.27,29.64,35.28,13.62
27,2018-03-02 03:00:00,9301,5.926,308.8,11.45,10.92,33.06,29.64,33.74,13.62
28,2018-03-02 04:00:00,9302,5.347,314.8,11.14,11.37,32.59,29.66,31.98,13.62
29,2018-03-02 05:00:00,9303,3.933,313.5,12.43,7.485,32.67,29.68,31.1,13.62
30,2018-03-02 06:00:00,9304,5.143,337.1,19.15,11.8,32.9,29.7,30.6,13.62
31,2018-03-02 07:00:00,9305,3.93,304.6,17.74,10.15,31.52,29.72,30.68,13.62
32,2018-03-02 08:00:00,9306,4.585,321.9,17.36,11.76,32.85,29.74,31.25,13.62
33,2018-03-02 09:00:00,9307,7.428,352.5,22.79,14.07,34.52,29.77,43.86,13.62
34,2018-03-02 10:00:00,9308,7.244,2.196,23.33,13.93,35.5,29.78,48.62,13.62
35,2018-03-02 11:00:00,9309,7.143,6.829,23.23,12.64,36.32,29.8,53.56,13.62
36,2018-03-02 12:00:00,9310,7.048,35.69,23.58,12.6,36.91,29.82,55.7,13.63
37,2018-03-02 13:00:00,9311,7.304,46.36,21.22,12.01,37.38,29.82,56.24,13.63
38,2018-03-02 14:00:00,9312,7.048,47.45,18.62,11.59,38.76,29.81,56.16,13.63
39,2018-03-02 15:00:00,9313,6.156,72.55,19.08,11.87,39.78,29.8,56.12,13.63
40,2018-03-02 16:00:00,9314,4.582,76.67,20.85,8.75,39.79,29.81,56.24,13.63
