,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2019-05-01 00:00:00,8169,7.711,52.54,19.59,14.32,44.34,29.34,46.07,13.62
1,2019-05-01 01:00:00,8170,7.948,83.3,17.32,15.76,45.44,29.31,47.06,13.64
2,2019-05-01 02:00:00,8171,4.867,97.9,26.25,13.13,46.76,29.26,48.38,13.64
3,2019-05-01 03:00:00,8172,4.296,122,24.84,12.36,48.65,29.22,49.95,13.64
4,2019-05-01 04:00:00,8173,4.906,127.5,28.38,16.91,50.96,29.18,51.91,13.64
5,2019-05-01 05:00:00,8174,7.005,124.8,30.06,17.58,52.49,29.15,53.06,13.64
6,2019-05-01 06:00:00,8175,4.571,120.7,32.05,12.43,52.15,29.15,53.15,13.64
7,2019-05-01 07:00:00,8176,6.569,246.4,38.31,16.07,52.7,29.19,53.64,13.64
8,2019-05-01 08:00:00,8177,6.352,244.8,20.07,12.71,54.54,29.19,57.05,13.64
9,2019-05-01 09:00:00,8178,10.25,228.6,15.42,21.85,58.46,29.22,61.5,13.64
10,2019-05-01 10:00:00,8179,10.66,228.5,17.32,21.5,59.2,29.25,61.9,13.64
11,2019-05-01 11:00:00,8180,12.44,254,15.62,23.57,58.78,29.28,61.59,13.64
12,2019-05-01 12:00:00,8181,13.88,250.5,13.5,23.61,59.07,29.3,63.98,13.47
13,2019-05-01 13:00:00,8182,11.97,253.9,14.48,21.92,59.15,29.33,65.18,13.65
14,2019-05-01 14:00:00,8183,10.94,247.5,13.59,19.37,59.55,29.35,66.95,13.64
15,2019-05-01 15:00:00,8184,8.93,260.8,19.06,15.83,59.76,29.37,67.28,13.65
16,2019-05-01 16:00:00,8185,7.086,319.8,63.41,13.86,56.47,29.38,66.53,13.64
17,2019-05-01 17:00:00,8186,7.27,52.5,19.28,11.66,47.14,29.4,63.57,13.64
18,2019-05-01 18:00:00,8187,7.829,74,15.37,12.39,46.66,29.41,56.97,13.64
19,2019-05-01 19:00:00,8188,6.789,71.74,14.76,11.97,46.25,29.42,55.91,13.63
20,2019-05-01 20:00:00,8189,6.406,72.07,13,10.78,46.13,29.43,50.93,13.63
21,2019-05-01 21:00:00,8190,4.813,46.76,18.73,8.78,46.33,29.46,49.43,13.64
22,2019-05-01 22:00:00,8191,5.751,26.22,16.47,11.2,46.21,29.46,49.27,13.64
23,2019-05-01 23:00:00,8192,7.769,29.59,13.6,13.9,44.53,29.45,48.9,13.64
24,2019-05-02 00:00:00,8193,6.15,28.98,15.01,12.36,43.24,29.46,47.66,13.64
25,2019-05-02 01:00:00,8194,6.237,28.92,15.18,10.99,42.73,29.47,46.31,13.63
26,2019-05-02 02:00:00,8195,6.944,32.66,16,13.55,42.61,29.44,45.48,13.62
27,2019-05-02 03:00:00,8196,6.586,32.26,18.49,11.83,42.64,29.45,44.89,13.63
28,2019-05-02 04:00:00,8197,6.99,23.32,19.85,13.65,42.28,29.45,44.69,13.63
29,2019-05-02 05:00:00,8198,6.329,34.34,18.24,12.36,42.08,29.45,44.45,13.63
30,2019-05-02 06:00:00,8199,4.728,45.99,19.06,9.27,42.25,29.45,44.96,13.62
31,2019-05-02 07:00:00,8200,6.797,27.73,14.41,11.83,42.66,29.46,45.4,13.63
32,2019-05-02 08:00:00,8201,6.047,21.62,16.93,11.41,42.71,29.46,45.48,13.62
33,2019-05-02 09:00:00,8202,5.516,38.05,24.15,9.87,43.96,29.47,46.11,13.62
34,2019-05-02 10:00:00,8203,5.508,51.82,18.17,12.71,44.32,29.47,46.82,13.64
35,2019-05-02 11:00:00,8204,8.87,39,38.92,18.73,44.29,29.44,47.38,13.64
36,2019-05-02 12:00:00,8205,7.006,39.82,18.51,13.76,43.54,29.44,47.74,13.64
37,2019-05-02 13:00:00,8206,7.941,36.61,21.8,17.3,44.66,29.43,48.46,13.64
38,2019-05-02 14:00:00,8207,9.37,4.965,22.52,18.21,42.47,29.43,47.78,13.63
39,2019-05-02 15:00:00,8208,8.62,358.7,23.67,17.61,41.99,29.43,45.4,13.62
40,2019-05-02 16:00:00,8209,8.3,3.599,23.52,16.49,42.5,29.42,44.85,13.63
41,2019-05-02 17:00:00,8210,8.03,7.509,21.6,15.48,42.79,29.43,45.0,13.63
42,2019-05-02 18:00:00,8211,8.55,10.82,19.26,17.44,42.72,29.42,45.04,13.62
43,2019-05-02 19:00:00,8212,8.51,3.175,22.8,17.44,42.41,29.43,44.61,13.63
44,2019-05-02 20:00:00,8213,9.2,11.16,19.5,19.86,42.26,29.44,43.94,13.63
45,2019-05-02 21:00:00,8214,7.228,357,22.47,15.44,42.58,29.46,44.02,13.63
46,2019-05-02 22:00:00,8215,7.184,349.5,20.16,16.67,42.94,29.46,44.26,13.63
