,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2018-11-01 00:00:00,3825,2.434,325.6,16.39,5.207,50.58,29.29,50.89,13.64
1,2018-11-01 01:00:00,3826,3.507,352.2,24.46,8.47,52.01,29.31,51.83,13.63
2,2018-11-01 02:00:00,3827,4.801,19.92,15.16,10.95,52.18,29.28,52.32,13.64
3,2018-11-01 03:00:00,3828,7.932,26.56,14.46,16.07,52.54,29.26,52.78,13.64
4,2018-11-01 04:00:00,3829,9.9,30.56,13.75,19.61,52.27,29.24,52.78,13.64
5,2018-11-01 05:00:00,3830,8.73,38.49,15.87,18.03,51.71,29.25,52.57,13.64
6,2018-11-01 06:00:00,3831,8.77,50.31,17.31,17.05,51.71,29.25,52.16,13.64
7,2018-11-01 07:00:00,3832,8.61,52.55,18.29,18.14,51.71,29.23,51.99,13.64
8,2018-11-01 08:00:00,3833,8.99,58.48,18.2,17.33,51.69,29.23,52.12,13.63
9,2018-11-01 09:00:00,3834,8.51,53.19,17.09,17.02,51.06,29.21,52.16,13.64
10,2018-11-01 10:00:00,3835,8.24,50.6,18.5,16.18,51.05,29.19,52.65,13.63
11,2018-11-01 11:00:00,3836,8.87,46.52,17.96,18.03,51.23,29.18,54.06,13.64
12,2018-11-01 12:00:00,3837,10.04,41.81,16.49,19.01,50.38,29.17,54.39,13.64
13,2018-11-01 13:00:00,3838,9.18,39.29,16.37,16.88,50.03,29.14,54.23,13.64
14,2018-11-01 14:00:00,3839,10.49,34.86,15.54,19.33,49.76,29.11,53.52,13.64
15,2018-11-01 15:00:00,3840,10.12,32.14,15.32,21.33,49.2,29.12,52.24,13.64
16,2018-11-01 16:00:00,3841,11.89,35.46,17.43,22.06,48.64,29.11,50.89,13.64
17,2018-11-01 17:00:00,3842,12.17,26.23,15.4,22.55,48.52,29.11,50.16,13.64
