,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2019-09-01 00:00:00,11121,5.263,62.64,19.26,11.69,66.01,29.57,68.9,13.65
1,2019-09-01 01:00:00,11122,5.876,69.08,20.81,12.6,64.97,29.56,66.29,13.65
2,2019-09-01 02:00:00,11123,7.094,81.9,19.9,15.02,63.52,29.55,65.22,13.64
3,2019-09-01 03:00:00,11124,6.993,90.9,22.74,17.16,62.15,29.54,64.12,13.64
4,2019-09-01 04:00:00,11125,5.403,97.9,29.51,12.64,61.74,29.54,62.89,13.64
5,2019-09-01 05:00:00,11126,5.796,89.0,21.7,12.64,61.74,29.52,62.21,13.64
6,2019-09-01 06:00:00,11127,4.371,87.5,23.39,9.48,61.94,29.5,62.04,13.64
7,2019-09-01 07:00:00,11128,2.012,142.6,68.14,7.064,62.72,29.5,63.75,13.64
8,2019-09-01 08:00:00,11129,4.711,149.4,18.45,12.81,64.25,29.51,67.09,13.64
9,2019-09-01 09:00:00,11130,3.568,177.2,23.85,8.68,65.46,29.51,71.9,13.65
10,2019-09-01 10:00:00,11131,4.904,156.3,20.61,9.55,67.5,29.49,78.38,13.65
11,2019-09-01 11:00:00,11132,4.909,176.0,32.23,10.64,71.28,29.48,86.5,13.64
12,2019-09-01 12:00:00,11133,3.834,88.8,97.9,9.1,72.06,29.47,84.4,13.65
13,2019-09-01 13:00:00,11134,4.597,73.29,21.07,8.29,71.71,29.46,83.5,13.65
14,2019-09-01 14:00:00,11135,4.328,44.25,19.92,7.8,69.89,29.45,82.4,13.64
15,2019-09-01 15:00:00,11136,3.276,68.66,27.45,6.889,70.37,29.43,80.2,13.64
16,2019-09-01 16:00:00,11137,4.348,31.68,19.35,7.344,69.0,29.43,78.6,13.65
17,2019-09-01 17:00:00,11138,4.4,26.89,18.69,6.924,68.79,29.43,75.49,13.65
18,2019-09-01 18:00:00,11139,4.556,35.36,16.6,7.274,68.93,29.42,73.37,13.65
19,2019-09-01 19:00:00,11140,3.921,15.64,19.13,7.45,68.14,29.42,72.35,13.65
20,2019-09-01 20:00:00,11141,3.023,16.68,19.6,7.309,67.52,29.42,70.91,13.65
21,2019-09-01 21:00:00,11142,2.727,2.495,22.17,4.856,67.41,29.43,70.07,13.64
22,2019-09-01 22:00:00,11143,2.008,13.87,24.66,3.419,67.47,29.44,69.44,13.64
23,2019-09-01 23:00:00,11144,1.106,107.0,63.6,2.403,66.34,29.44,68.66,13.64
24,2019-09-02 00:00:00,11145,0.659,263.8,71.12,1.737,65.23,29.44,66.76,13.64
25,2019-09-02 01:00:00,11146,1.102,250.4,24.69,2.473,64.65,29.44,65.08,13.63
26,2019-09-02 02:00:00,11147,0.957,233.1,24.46,2.858,63.57,29.44,64.21,13.64
27,2019-09-02 03:00:00,11148,1.0,258.9,21.87,2.718,63.51,29.45,63.39,13.64
28,2019-09-02 04:00:00,11149,2.883,224.3,21.45,6.503,63.45,29.45,63.21,13.64
29,2019-09-02 05:00:00,11150,3.053,249.7,17.57,5.312,63.5,29.46,63.3,13.64
30,2019-09-02 06:00:00,11151,3.473,231.7,13.77,5.837,63.47,29.47,63.39,13.63
31,2019-09-02 07:00:00,11152,4.16,254.3,14.41,6.538,64.54,29.48,64.76,13.63
32,2019-09-02 08:00:00,11153,5.58,270.1,15.82,11.3,68.44,29.47,68.47,13.64
33,2019-09-02 09:00:00,11154,6.281,273.6,16.27,10.88,72.05,29.47,79.31,13.65
34,2019-09-02 10:00:00,11155,5.323,289.3,27.71,10.25,75.22,29.47,88.7,13.65
35,2019-09-02 11:00:00,11156,3.921,335.5,80.7,10.04,77.48,29.47,96.9,13.66
36,2019-09-02 12:00:00,11157,5.734,71.05,22.0,9.52,76.93,29.46,95.5,13.66
37,2019-09-02 13:00:00,11158,5.62,69.46,20.22,9.34,77.39,29.46,96.0,13.66
38,2019-09-02 14:00:00,11159,6.785,79.23,18.21,11.23,77.73,29.44,97.2,13.65
39,2019-09-02 15:00:00,11160,5.442,86.9,18.94,11.02,76.41,29.43,93.2,13.65
40,2019-09-02 16:00:00,11161,5.332,94.9,23.07,12.5,78.04,29.42,90.5,13.64
41,2019-09-02 17:00:00,11162,5.22,184.8,33.96,11.87,81.8,29.4,91.3,13.65
42,2019-09-02 18:00:00,11163,5.812,218.5,16.26,11.59,81.3,29.4,90.9,13.66
43,2019-09-02 19:00:00,11164,4.618,212.8,13.09,8.75,78.26,29.4,87.0,13.65
44,2019-09-02 20:00:00,11165,3.744,208.9,15.0,7.555,75.76,29.4,80.4,13.65
45,2019-09-02 21:00:00,11166,3.081,202.5,17.13,5.697,74.37,29.4,76.86,13.65
46,2019-09-02 22:00:00,11167,3.642,202.6,16.01,7.765,73.53,29.4,74.81,13.65
47,2019-09-02 23:00:00,11168,3.827,202.3,17.56,7.485,72.41,29.39,73.52,13.65
48,2019-09-03 00:00:00,11169,4.117,181.3,16.33,8.92,70.71,29.37,72.61,13.64
49,2019-09-03 01:00:00,11170,4.233,193.8,14.52,8.33,70.02,29.37,71.21,13.65
50,2019-09-03 02:00:00,11171,4.001,188.6,15.52,7.169,68.77,29.36,70.27,13.64
51,2019-09-03 03:00:00,11172,4.484,201.2,15.22,9.31,68.71,29.35,69.39,13.64
52,2019-09-03 04:00:00,11173,4.104,183.4,16.36,9.1,67.97,29.34,69.0,13.65
53,2019-09-03 05:00:00,11174,3.31,182.8,17.38,7.099,67.22,29.35,68.28,13.65
54,2019-09-03 06:00:00,11175,3.57,215.2,50.74,8.5,67.74,29.38,68.71,13.65
55,2019-09-03 07:00:00,11176,3.553,217.0,62.48,8.4,67.35,29.39,68.9,13.65
56,2019-09-03 08:00:00,11177,10.08,160.9,58.89,34.58,66.57,29.33,68.04,13.47
57,2019-09-03 09:00:00,11178,17.08,186.6,18.29,33.56,68.31,29.21,69.49,13.48
58,2019-09-03 10:00:00,11179,12.53,203.1,16.86,29.81,70.54,29.22,71.15,13.65
59,2019-09-03 11:00:00,11180,12.76,209.5,14.64,25.92,70.66,29.23,72.76,13.65
60,2019-09-03 12:00:00,11181,12.32,213.3,15.28,23.68,72.38,29.21,75.18,13.65
61,2019-09-03 13:00:00,11182,14.34,209.2,14.95,25.88,73.07,29.21,76.97,13.47
