,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2017-08-01 00:00:00,4186,1.108,232.8,50.67,2.753,73.82,29.48,73.98,13.61
1,2017-08-01 01:00:00,4187,1.48,175.0,22.37,2.508,73.24,29.48,74.19,13.61
2,2017-08-01 02:00:00,4188,1.362,158.8,44.04,3.209,72.91,29.47,73.67,13.64
3,2017-08-01 03:00:00,4189,2.238,190.3,18.91,4.225,71.74,29.47,73.32,13.61
4,2017-08-01 04:00:00,4190,2.211,202.5,25.28,4.716,71.28,29.46,71.9,13.61
5,2017-08-01 05:00:00,4191,2.288,207.4,20.98,4.295,71.28,29.46,71.7,13.61
6,2017-08-01 06:00:00,4192,2.073,226.9,24.11,4.821,71.63,29.46,72.81,13.61
7,2017-08-01 07:00:00,4193,2.127,196.1,41.01,5.627,73.29,29.47,75.54,13.61
8,2017-08-01 08:00:00,4194,5.041,205.3,21.48,9.31,77.46,29.47,79.97,13.62
9,2017-08-01 09:00:00,4195,5.784,200.6,20.29,10.29,80.3,29.46,84.6,13.61
10,2017-08-01 10:00:00,4196,5.758,225.9,30.81,11.51,81.9,29.45,90.9,13.61
11,2017-08-01 11:00:00,4197,6.067,234.9,30.73,11.76,83.3,29.44,97.4,13.62
12,2017-08-01 12:00:00,4198,5.173,240.2,52.23,11.76,85.2,29.42,102.9,13.62
13,2017-08-01 13:00:00,4199,4.988,176.8,78.92,11.94,85.8,29.41,106.0,13.61
14,2017-08-01 14:00:00,4200,5.683,260.4,42.2,12.08,85.3,29.39,102.9,13.64
15,2017-08-01 15:00:00,4201,8.16,273.9,42.6,17.05,83.0,29.39,101.1,13.61
16,2017-08-01 16:00:00,4202,6.262,23.73,22.68,13.09,78.67,29.38,89.6,13.63
17,2017-08-01 17:00:00,4203,5.605,63.4,29.14,10.25,79.08,29.37,86.5,13.63
18,2017-08-01 18:00:00,4204,3.798,82.6,22.06,8.22,78.6,29.38,86.1,13.63
19,2017-08-01 19:00:00,4205,2.765,72.76,38.05,7.555,80.2,29.38,84.4,13.63
20,2017-08-01 20:00:00,4206,2.58,113.1,54.74,7.765,78.32,29.38,83.8,13.62
21,2017-08-01 21:00:00,4207,4.352,203.7,19.08,9.48,77.45,29.39,78.98,13.61
22,2017-08-01 22:00:00,4208,4.995,214.0,17.96,9.76,75.72,29.4,77.51,13.61
23,2017-08-01 23:00:00,4209,4.616,209.1,18.21,11.16,73.76,29.4,76.01,13.61
24,2017-08-02 00:00:00,4210,3.767,215.8,16.91,7.309,72.76,29.39,74.19,13.62
25,2017-08-02 01:00:00,4211,3.963,203.1,23.1,7.555,71.14,29.38,72.91,13.63
26,2017-08-02 02:00:00,4212,3.842,200.9,16.57,8.12,69.79,29.37,71.75,13.61
27,2017-08-02 03:00:00,4213,4.323,218.0,19.18,7.66,69.91,29.38,70.46,13.62
28,2017-08-02 04:00:00,4214,4.699,210.2,17.47,8.4,69.79,29.39,70.32,13.61
29,2017-08-02 05:00:00,4215,4.089,219.6,16.91,8.64,69.38,29.39,70.07,13.61
30,2017-08-02 06:00:00,4216,3.971,212.7,17.22,8.33,69.63,29.4,70.27,13.61
31,2017-08-02 07:00:00,4217,5.782,214.1,13.18,9.34,70.91,29.39,72.96,13.62
32,2017-08-02 08:00:00,4218,5.158,243.3,24.41,9.31,74.27,29.39,76.07,13.61
33,2017-08-02 09:00:00,4219,4.127,242.0,38.85,8.4,78.63,29.4,82.5,13.61
34,2017-08-02 10:00:00,4220,3.997,233.8,53.1,9.55,81.1,29.4,93.0,13.63
35,2017-08-02 11:00:00,4221,4.129,68.95,45.51,8.36,81.2,29.4,93.7,13.62
36,2017-08-02 12:00:00,4222,6.549,81.0,18.17,11.3,81.2,29.39,95.9,13.64
37,2017-08-02 13:00:00,4223,7.921,86.1,18.36,13.9,82.9,29.38,99.4,13.62
38,2017-08-02 14:00:00,4224,8.48,87.2,18.63,15.86,83.2,29.37,98.6,13.62
39,2017-08-02 15:00:00,4225,7.85,84.1,17.04,16.74,83.8,29.35,99.0,13.62
40,2017-08-02 16:00:00,4226,7.173,85.8,19.63,14.84,83.6,29.34,97.9,13.64
41,2017-08-02 17:00:00,4227,6.706,86.7,19.73,14.46,82.1,29.34,96.4,13.62
42,2017-08-02 18:00:00,4228,6.39,85.3,19.65,13.16,79.51,29.34,90.5,13.62
43,2017-08-02 19:00:00,4229,6.316,18.41,42.88,15.41,77.95,29.35,83.8,13.61
44,2017-08-02 20:00:00,4230,7.792,24.78,24.65,15.86,75.18,29.37,77.62,13.64
45,2017-08-02 21:00:00,4231,4.945,55.96,23.01,10.36,74.41,29.39,75.96,13.61
46,2017-08-02 22:00:00,4232,4.126,16.36,34.1,8.54,73.91,29.39,75.65,13.61
47,2017-08-02 23:00:00,4233,3.778,34.3,24.41,7.8,73.38,29.4,74.6,13.64
48,2017-08-03 00:00:00,4234,4.949,46.72,14.98,9.31,73.14,29.4,74.39,13.61
49,2017-08-03 01:00:00,4235,4.381,36.46,16.06,8.89,72.8,29.39,73.67,13.64
50,2017-08-03 02:00:00,4236,3.844,30.35,21.17,7.45,72.68,29.38,73.52,13.64
51,2017-08-03 03:00:00,4237,3.401,36.84,18.23,6.749,72.77,29.38,73.57,13.62
52,2017-08-03 04:00:00,4238,2.951,45.64,17.05,5.907,72.14,29.37,73.37,13.61
53,2017-08-03 05:00:00,4239,2.686,57.55,21.38,5.031,72.08,29.37,72.76,13.62
54,2017-08-03 06:00:00,4240,2.773,90.0,21.99,6.573,72.59,29.37,73.57,13.62
55,2017-08-03 07:00:00,4241,3.83,87.6,20.29,8.29,74.03,29.37,76.65,13.61
56,2017-08-03 08:00:00,4242,3.61,146.5,25.06,8.5,76.57,29.36,80.0,13.61
57,2017-08-03 09:00:00,4243,6.58,180.8,26.02,12.64,79.85,29.35,83.7,13.61
58,2017-08-03 10:00:00,4244,7.763,191.1,20.12,15.26,82.1,29.33,92.0,13.61
59,2017-08-03 11:00:00,4245,8.53,190.1,24.27,16.63,83.6,29.32,93.6,13.62
60,2017-08-03 12:00:00,4246,8.08,177.8,23.42,18.31,82.3,29.3,93.5,13.62
61,2017-08-03 13:00:00,4247,11.12,165.6,18.53,22.91,81.2,29.26,91.5,13.62
62,2017-08-03 14:00:00,4248,8.07,178.2,18.6,17.96,78.41,29.24,85.7,13.63
63,2017-08-03 15:00:00,4249,10.01,185.6,20.48,20.77,75.1,29.25,83.4,13.61
