44,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
45,4/1/2019 0:00,7449,4.402,174.7,16.28,10.5,29.58,29.69,28.95,13.62
46,4/1/2019 1:00,7450,4.78,178.2,14.4,9.62,29.07,29.68,28.49,13.62
47,4/1/2019 2:00,7451,5.247,177.4,14.61,10.22,28.88,29.68,28.11,13.62
48,4/1/2019 3:00,7452,5.313,174.3,13.8,8.96,28.71,29.66,27.99,13.62
49,4/1/2019 4:00,7453,3.217,177.7,15.32,7.485,27.71,29.65,27.8,13.61
50,4/1/2019 5:00,7454,4.001,187,14.29,9.24,27.05,29.65,26.49,13.62
51,4/1/2019 6:00,7455,5.63,193.6,12.97,10.78,26.92,29.65,26.14,13.61
52,4/1/2019 7:00,7456,6.205,191.1,14.55,11.23,28.23,29.67,28.18,13.61
53,4/1/2019 8:00,7457,6.012,199.7,18.03,11.02,32.58,29.68,32.52,13.61
54,4/1/2019 9:00,7458,7.95,202.8,17.4,14.63,37.19,29.68,41.71,13.62
55,4/1/2019 10:00,7459,10.36,204.5,18.61,18.63,40.07,29.67,47.46,13.63
56,4/1/2019 11:00,7460,11.71,209.1,16.26,23.92,41.85,29.65,50.52,13.63
57,4/1/2019 12:00,7461,12.16,202.7,17.58,23.92,43.76,29.63,54.06,13.63
58,4/1/2019 13:00,7462,13.52,203.8,18.08,26.73,45.58,29.6,57.23,13.47
59,4/1/2019 14:00,7463,15.16,207.1,16.39,26.06,46.38,29.57,57.36,13.47
60,4/1/2019 15:00,7464,14.13,204.4,17.97,29.88,47.16,29.54,57.23,13.63
61,4/1/2019 16:00,7465,15,207.4,16.38,27.08,47.17,29.52,56.76,13.47
62,4/1/2019 17:00,7466,13.54,200.6,17.06,25.5,47.64,29.5,55.91,13.47
63,4/1/2019 18:00,7467,13.16,205.2,15.61,25.46,46.59,29.49,53.98,13.47
64,4/1/2019 19:00,7468,9.77,196.8,15.81,21.68,44.53,29.48,49.55,13.63
65,4/1/2019 20:00,7469,9.38,193.6,15.51,19.12,43.22,29.48,45.44,13.63
66,4/1/2019 21:00,7470,8.93,201.1,14.68,18.84,42.41,29.49,43.35,13.63
67,4/1/2019 22:00,7471,8.67,201.7,14.83,15.72,42.02,29.48,42.26,13.63
68,4/1/2019 23:00,7472,9.68,210.1,13.47,17.33,42.22,29.47,42.11,13.63
69,4/2/2019 0:00,7473,10.21,212.8,13.79,19.05,41.76,29.46,42.18,13.62
70,4/2/2019 1:00,7474,9.55,210.5,14.09,19.82,41.47,29.44,41.87,13.62
71,4/2/2019 2:00,7475,10.47,210.8,13.34,20.38,41.47,29.43,41.56,13.63
72,4/2/2019 3:00,7476,9.27,215.4,14.84,19.16,41.27,29.41,41.52,13.63
73,4/2/2019 4:00,7477,9.27,215.5,13.92,17.58,40.68,29.4,41.21,13.63
74,4/2/2019 5:00,7478,9.31,215.5,13.06,17.51,40.16,29.39,40.55,13.63
75,4/2/2019 6:00,7479,8.84,215.1,13.59,16.67,39.44,29.39,39.74,13.62
76,4/2/2019 7:00,7480,8.75,208.5,13.97,16.28,39.85,29.39,40.78,13.63
77,4/2/2019 8:00,7481,10.16,213.4,14.23,19.86,42.1,29.38,43.67,13.62
78,4/2/2019 9:00,7482,9.46,216.1,16.1,20.7,44.61,29.37,51.3,13.62
79,4/2/2019 10:00,7483,9.57,219.6,17.85,17.23,49.03,29.35,57.7,13.63
80,4/2/2019 11:00,7484,11.14,216.9,17.17,24.52,52.63,29.33,65.22,13.64
81,4/2/2019 12:00,7485,14.14,227.5,18.79,28.3,54.87,29.31,66.48,13.64
82,4/2/2019 13:00,7486,15.36,223.5,18.51,29.14,55.54,29.3,64.25,13.47
83,4/2/2019 14:00,7487,15.37,236.1,17.93,29.95,55.27,29.28,65.36,13.47
84,4/2/2019 15:00,7488,13.92,254.4,15.3,26.2,52.14,29.3,61.23,13.47
85,4/2/2019 16:00,7489,14.53,258.9,14.49,26.83,49.64,29.31,56.08,13.47
86,4/2/2019 17:00,7490,13.13,259.5,14.23,23.36,49.41,29.33,53.43,13.64
87,4/2/2019 18:00,7491,12.74,261.5,13.66,22.98,48.59,29.34,52.07,13.64
88,4/2/2019 19:00,7492,11.84,252.3,12.74,21.85,46.7,29.34,50.85,13.63
89,4/2/2019 20:00,7493,8.29,252.6,12.39,15.83,45.11,29.37,47.26,13.63
90,4/2/2019 21:00,7494,7.152,255.4,12.71,12.85,44.16,29.39,45,13.63
91,4/2/2019 22:00,7495,7.373,239.9,14.66,12.71,43.41,29.4,43.55,13.63
92,4/2/2019 23:00,7496,6.61,232.3,14.47,12.5,42.47,29.41,42.53,13.63
93,4/3/2019 0:00,7497,7.139,227.2,16.13,14.14,41.85,29.42,41.68,13.63
94,4/3/2019 1:00,7498,7.604,230.8,14.94,13.65,40.9,29.43,40.94,13.63
95,4/3/2019 2:00,7499,7.56,239.5,13.33,14.39,40.77,29.44,40.36,13.63
