,TIMESTAMP TS,RECORD RN,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2017-04-01 00:00:00,1258,5.989,356.4,24.12,15.55,38.74,29.41,40.01,13.62
1,2017-04-01 01:00:00,1259,5.059,348.0,22.69,11.3,39.46,29.44,39.51,13.62
2,2017-04-01 02:00:00,1260,5.39,359.3,19.98,11.3,39.08,29.45,38.97,13.62
3,2017-04-01 03:00:00,1261,5.233,352.6,19.27,11.59,38.95,29.47,37.97,13.62
4,2017-04-01 04:00:00,1262,3.614,327.3,25.97,8.68,38.86,29.49,37.5,13.61
5,2017-04-01 05:00:00,1263,2.051,308.6,22.21,4.716,36.87,29.49,36.77,13.61
6,2017-04-01 06:00:00,1264,2.134,277.8,17.88,4.19,35.21,29.51,35.2,13.61
7,2017-04-01 07:00:00,1265,2.335,291.2,15.39,5.277,36.02,29.55,34.93,13.62
8,2017-04-01 08:00:00,1266,3.432,341.7,30.6,9.59,40.24,29.57,38.81,13.62
9,2017-04-01 09:00:00,1267,4.208,5.251,26.93,7.87,43.56,29.58,50.56,13.62
10,2017-04-01 10:00:00,1268,3.8,15.84,29.72,7.975,46.39,29.6,60.35,13.61
11,2017-04-01 11:00:00,1269,6.496,44.71,19.18,10.53,47.52,29.6,64.35,13.62
12,2017-04-01 12:00:00,1270,7.494,40.46,17.21,11.13,47.04,29.6,64.3,13.62
13,2017-04-01 13:00:00,1271,7.483,53.34,16.24,10.74,46.61,29.59,63.61,13.62
14,2017-04-01 14:00:00,1272,7.743,71.78,14.14,12.15,45.99,29.58,62.71,13.62
15,2017-04-01 15:00:00,1273,7.569,81.6,15.24,13.02,46.36,29.57,63.21,13.62
16,2017-04-01 16:00:00,1274,6.366,88.9,16.92,10.81,46.55,29.57,62.08,13.63
17,2017-04-01 17:00:00,1275,5.787,80.6,14.41,9.48,47,29.57,59.73,13.62
18,2017-04-01 18:00:00,1276,4.999,88.2,19.68,9.52,44.14,29.57,55.36,13.62
19,2017-04-01 19:00:00,1277,2.987,107.2,24.39,6.503,44.39,29.57,48.78,13.62
20,2017-04-01 20:00:00,1278,2.441,146.0,39.21,5.347,46.18,29.57,45.95,13.62
21,2017-04-01 21:00:00,1279,2.417,200.4,16.51,4.506,45.28,29.58,45.95,13.62
22,2017-04-01 22:00:00,1280,1.631,172.9,20.2,3.209,43.83,29.58,44.14,13.62
23,2017-04-01 23:00:00,1281,1.278,233.0,25.07,2.788,43.04,29.58,42.42,13.62
24,2017-04-02 00:00:00,1282,1.717,193.6,17.94,2.964,42.08,29.58,40.98,13.62
25,2017-04-02 01:00:00,1283,1.435,154.2,45.78,3.524,42.58,29.57,41.21,13.62
26,2017-04-02 02:00:00,1284,1.536,153.7,40.75,4.05,42.09,29.54,41.41,13.62
27,2017-04-02 03:00:00,1285,2.768,191.0,13.45,4.996,42.13,29.53,41.33,13.62
28,2017-04-02 04:00:00,1286,2.598,199.7,15.46,5.136,42.87,29.54,42.81,13.62
29,2017-04-02 05:00:00,1287,2.155,162.2,42.96,5.171,43.74,29.54,43.86,13.62
30,2017-04-02 06:00:00,1288,2.36,180.4,24.21,4.436,43.74,29.55,44.14,13.62
31,2017-04-02 07:00:00,1289,2.106,176.8,26.31,5.662,44.23,29.55,45.44,13.62
