,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2019-08-01 00:00:00,10377,4.587,38.48,13.92,8.29,68.31,29.52,67.52,13.65
1,2019-08-01 01:00:00,10378,3.993,38.22,13.12,7.309,68.26,29.52,67.14,13.65
2,2019-08-01 02:00:00,10379,3.606,44.08,15.52,7.274,68.26,29.52,66.81,13.65
3,2019-08-01 03:00:00,10380,3.906,47.03,14.87,7.485,68.26,29.52,66.57,13.65
4,2019-08-01 04:00:00,10381,3.868,46.41,14.18,7.765,68.27,29.51,66.71,13.63
5,2019-08-01 05:00:00,10382,3.482,45.61,16.78,6.959,68.26,29.52,66.67,13.64
6,2019-08-01 06:00:00,10383,3.337,39.45,16.29,6.363,68.96,29.53,68.04,13.65
7,2019-08-01 07:00:00,10384,5.872,33.23,15.53,10.36,70.16,29.54,70.86,13.65
8,2019-08-01 08:00:00,10385,7.014,27.74,18.86,10.22,70.69,29.55,72.2,13.64
9,2019-08-01 09:00:00,10386,7.806,27.61,17.25,14.49,71.98,29.56,75.22,13.65
10,2019-08-01 10:00:00,10387,8.32,33.66,20.44,13.9,72.56,29.56,84.8,13.65
11,2019-08-01 11:00:00,10388,8.57,31.58,20.57,14.42,73.25,29.56,86.7,13.66
12,2019-08-01 12:00:00,10389,9.68,26.93,19.53,17.05,73.31,29.56,87.8,13.65
13,2019-08-01 13:00:00,10390,9.92,25.76,21.18,16.77,73.71,29.55,87.6,13.65
14,2019-08-01 14:00:00,10391,10.45,29.89,19.78,16.11,73.94,29.54,87.6,13.65
15,2019-08-01 15:00:00,10392,8.69,33.02,19.77,14.21,74.85,29.52,87.8,13.65
16,2019-08-01 16:00:00,10393,9.94,23.26,15.78,15.34,74.42,29.52,87.9,13.65
17,2019-08-01 17:00:00,10394,10.13,24.9,17.32,16.18,74.02,29.51,85.3,13.66
18,2019-08-01 18:00:00,10395,9.09,18.32,17.4,15.65,73.41,29.5,83.5,13.65
