TIMESTAMP,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg
2017-04-01 00:00:00,5.989,356.4,24.12,15.55,38.74,29.41
2017-04-01 01:00:00,5.059,348.0,22.69,11.3,39.46,29.44
2017-04-01 02:00:00,5.39,359.3,19.98,11.3,39.08,29.45
2017-04-01 03:00:00,5.233,352.6,19.27,11.59,38.95,29.47
2017-04-01 04:00:00,3.614,327.3,25.97,8.68,38.86,29.49
2017-04-01 05:00:00,2.051,308.6,22.21,4.716,36.87,29.49
2017-04-01 06:00:00,2.134,277.8,17.88,4.19,35.21,29.51
2017-04-01 07:00:00,2.335,291.2,15.39,5.277,36.02,29.55
2017-04-01 08:00:00,3.432,341.7,30.6,9.59,40.24,29.57
2017-04-01 09:00:00,4.208,5.251,26.93,7.87,43.56,29.58
2017-04-01 10:00:00,3.8,15.84,29.72,7.975,46.39,29.6
2017-04-01 11:00:00,6.496,44.71,19.18,10.53,47.52,29.6
2017-04-01 12:00:00,7.494,40.46,17.21,11.13,47.04,29.6
2017-04-01 13:00:00,7.483,53.34,16.24,10.74,46.61,29.59
2017-04-01 14:00:00,7.742999999999999,71.78,14.14,12.15,45.99,29.58
2017-04-01 15:00:00,7.569,81.6,15.24,13.02,46.36,29.57
2017-04-01 16:00:00,6.3660000000000005,88.9,16.92,10.81,46.55,29.57
2017-04-01 17:00:00,5.787000000000001,80.6,14.41,9.48,47.0,29.57
2017-04-01 18:00:00,4.999,88.2,19.68,9.52,44.14,29.57
2017-04-01 19:00:00,2.987,107.2,24.39,6.502999999999999,44.39,29.57
2017-04-01 20:00:00,2.441,146.0,39.21,5.347,46.18,29.57
2017-04-01 21:00:00,2.417,200.4,16.51,4.506,45.28,29.58
2017-04-01 22:00:00,1.631,172.9,20.2,3.2089999999999996,43.83,29.58
2017-04-01 23:00:00,1.278,233.0,25.07,2.7880000000000003,43.04,29.58
2017-04-02 00:00:00,1.7169999999999999,193.6,17.94,2.964,42.08,29.58
2017-04-02 01:00:00,1.435,154.2,45.78,3.5239999999999996,42.58,29.57
2017-04-02 02:00:00,1.536,153.7,40.75,4.05,42.09,29.54
2017-04-02 03:00:00,2.7680000000000002,191.0,13.45,4.996,42.13,29.53
2017-04-02 04:00:00,2.5980000000000003,199.7,15.46,5.136,42.87,29.54
2017-04-02 05:00:00,2.155,162.2,42.96,5.171,43.74,29.54
2017-04-02 06:00:00,2.36,180.4,24.21,4.436,43.74,29.55
2017-04-02 07:00:00,2.106,176.8,26.31,5.662000000000001,44.23,29.55
2017-04-02 08:00:00,3.878,191.7,15.66,7.1339999999999995,46.03,29.56
2017-04-02 09:00:00,4.305,210.3,17.49,8.05,49.39,29.55
2017-04-02 10:00:00,7.162999999999999,184.7,21.29,13.23,55.36,29.53
2017-04-02 11:00:00,7.754,171.3,19.31,14.67,56.81,29.51
2017-04-02 12:00:00,8.06,159.5,32.88,15.79,58.2,29.48
2017-04-02 13:00:00,6.845,153.2,31.11,13.44,57.45,29.45
2017-04-02 14:00:00,6.916,160.3,18.67,13.3,56.57,29.42
