,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2017-12-01 00:00:00,7114,3.238,278.7,15.09,6.363,41.42,29.54,40.32,13.59
1,2017-12-01 01:00:00,7115,2.924,272.9,10.71,5.978,39.45,29.55,39.32,13.58
2,2017-12-01 02:00:00,7116,2.441,256.0,14.28,3.805,38.13,29.56,37.62,13.58
3,2017-12-01 03:00:00,7117,2.12,210.7,16.87,3.524,34.95,29.56,35.85,13.58
4,2017-12-01 04:00:00,7118,3.073,234.4,13.91,5.732,35.33,29.57,33.7,13.6
5,2017-12-01 05:00:00,7119,3.242,235.1,13.02,5.522,34.78,29.59,33.86,13.61
6,2017-12-01 06:00:00,7120,2.958,228.5,14.06,5.802,33.21,29.59,33.44,13.6
7,2017-12-01 07:00:00,7121,2.87,236.1,13.97,5.101,32.78,29.6,32.25,13.6
8,2017-12-01 08:00:00,7122,2.775,200.9,23.34,4.996,32.98,29.6,35.7,13.6
9,2017-12-01 09:00:00,7123,4.144,232.4,16.05,7.625,36.96,29.61,46.15,13.6
10,2017-12-01 10:00:00,7124,4.907,229.6,16.43,8.33,41.31,29.62,55.87,13.6
11,2017-12-01 11:00:00,7125,6.315,212.9,16.72,11.83,45.23,29.62,60.61,13.61
12,2017-12-01 12:00:00,7126,7.525,219.2,17.73,12.39,48.24,29.6,62.3,13.61
13,2017-12-01 13:00:00,7127,6.299,228.9,20.97,11.69,50.04,29.58,64.62,13.62
14,2017-12-01 14:00:00,7128,5.149,224.0,25.41,8.99,51.7,29.57,65.41,13.62
15,2017-12-01 15:00:00,7129,4.405,220.6,22.28,10.95,52.45,29.55,64.71,13.62
16,2017-12-01 16:00:00,7130,4.387,194.2,17.86,7.8,52.2,29.55,63.39,13.62
17,2017-12-01 17:00:00,7131,3.782,187.8,13.67,6.153,48.86,29.54,57.31,13.62
18,2017-12-01 18:00:00,7132,2.919,169.0,12.5,5.242,46.14,29.55,49.23,13.61
19,2017-12-01 19:00:00,7133,2.631,173.1,13.11,4.856,43.92,29.55,44.81,13.61
20,2017-12-01 20:00:00,7134,3.218,173.8,10.88,6.118,43.06,29.54,41.71,13.61
21,2017-12-01 21:00:00,7135,3.468,175.5,12.24,6.188,41.69,29.53,40.4,13.61
22,2017-12-01 22:00:00,7136,3.233,205.1,16.9,6.363,40.66,29.53,39.32,13.61
23,2017-12-01 23:00:00,7137,2.403,191.7,14.53,5.101,38.59,29.53,38.39,13.59
24,2017-12-02 00:00:00,7138,3.112,183.9,16.74,5.347,37.98,29.53,36.89,13.59
25,2017-12-02 01:00:00,7139,3.777,182.6,13.41,6.959,37.18,29.52,36.04,13.61
26,2017-12-02 02:00:00,7140,3.817,181.4,11.82,6.083,36.66,29.52,35.81,13.61
27,2017-12-02 03:00:00,7141,4.5,181.4,13.29,8.36,36.19,29.52,35.74,13.6
28,2017-12-02 04:00:00,7142,3.537,185.7,15.19,7.835,36.04,29.51,36.58,13.6
29,2017-12-02 05:00:00,7143,4.653,183.4,13.69,8.57,37.34,29.5,38.27,13.6
30,2017-12-02 06:00:00,7144,5.33,182.7,13.33,9.41,38.22,29.48,38.66,13.6
31,2017-12-02 07:00:00,7145,5.95,189.0,12.92,10.29,37.53,29.49,38.54,13.6
32,2017-12-02 08:00:00,7146,5.367,186.4,14.09,9.17,37.18,29.49,38.81,13.6
33,2017-12-02 09:00:00,7147,5.617,193.0,15.23,11.51,40.15,29.51,47.66,13.6
34,2017-12-02 10:00:00,7148,6.076,204.6,14.21,11.34,44.2,29.5,57.18,13.61
35,2017-12-02 11:00:00,7149,7.295,217.0,17.36,14.67,48.27,29.47,61.99,13.61
36,2017-12-02 12:00:00,7150,6.769,214.3,15.34,11.27,50.65,29.45,65.08,13.6
37,2017-12-02 13:00:00,7151,7.137,231.4,16.95,13.09,52.9,29.44,65.78,13.62
38,2017-12-02 14:00:00,7152,6.71,231.9,19.58,12.08,53.87,29.44,65.08,13.62
39,2017-12-02 15:00:00,7153,6.138,232.2,25.79,10.74,54.75,29.45,63.71,13.62
40,2017-12-02 16:00:00,7154,5.569,211.2,13.0,9.52,54.26,29.43,63.02,13.6
41,2017-12-02 17:00:00,7155,1.994,220.4,19.16,5.662,50.84,29.43,56.88,13.59
42,2017-12-02 18:00:00,7156,2.535,244.0,18.08,4.646,48.03,29.45,51.05,13.59
43,2017-12-02 19:00:00,7157,3.88,257.7,13.0,8.05,48.66,29.48,47.58,13.61
44,2017-12-02 20:00:00,7158,2.325,198.4,18.89,4.26,46.13,29.48,47.54,13.59
45,2017-12-02 21:00:00,7159,2.26,232.2,23.12,3.98,43.97,29.48,45.0,13.61
46,2017-12-02 22:00:00,7160,1.491,240.7,22.58,3.069,41.63,29.49,42.11,13.59
47,2017-12-02 23:00:00,7161,1.077,279.4,28.26,2.333,39.66,29.5,39.62,13.6
48,2017-12-03 00:00:00,7162,1.235,206.4,15.95,2.753,37.89,29.5,37.81,13.59
49,2017-12-03 01:00:00,7163,1.943,242.0,12.81,4.155,36.98,29.5,36.2,13.58
50,2017-12-03 02:00:00,7164,2.35,236.5,17.73,4.891,36.87,29.51,35.12,13.61
51,2017-12-03 03:00:00,7165,1.791,215.5,30.96,2.999,34.93,29.51,34.55,13.6
52,2017-12-03 04:00:00,7166,2.12,230.5,27.45,3.664,34.42,29.51,33.32,13.58
53,2017-12-03 05:00:00,7167,2.936,226.3,13.01,5.522,35.32,29.53,33.48,13.58
54,2017-12-03 06:00:00,7168,1.873,253.3,14.33,3.209,34.8,29.53,33.51,13.58
55,2017-12-03 07:00:00,7169,1.202,226.2,41.3,3.349,32.93,29.54,32.9,13.58
56,2017-12-03 08:00:00,7170,1.296,236.9,44.77,3.174,33.28,29.55,34.93,13.61
57,2017-12-03 09:00:00,7171,1.746,169.0,20.43,3.349,38.35,29.56,48.66,13.59
58,2017-12-03 10:00:00,7172,3.521,186.4,44.65,6.468,45.16,29.57,60.84,13.6
59,2017-12-03 11:00:00,7173,5.06,210.1,17.63,8.89,48.9,29.57,65.18,13.59
60,2017-12-03 12:00:00,7174,6.763,210.1,14.14,11.06,52.25,29.55,66.62,13.6
61,2017-12-03 13:00:00,7175,7.398,205.2,14.91,12.85,55.21,29.52,67.42,13.59
62,2017-12-03 14:00:00,7176,7.667,182.6,20.48,14.21,57.43,29.5,67.94,13.6
63,2017-12-03 15:00:00,7177,8.04,168.7,16.16,12.39,57.92,29.48,67.42,13.6
64,2017-12-03 16:00:00,7178,6.046,169.5,13.46,11.48,56.99,29.48,65.18,13.6
65,2017-12-03 17:00:00,7179,4.5,159.4,14.25,9.76,53.79,29.46,59.91,13.6
66,2017-12-03 18:00:00,7180,4.978,150.7,13.71,9.06,51.97,29.45,53.48,13.6
67,2017-12-03 19:00:00,7181,5.699,150.9,13.93,10.5,51.08,29.44,51.34,13.59
68,2017-12-03 20:00:00,7182,6.3,149.1,15.11,12.5,50.09,29.43,50.08,13.59
69,2017-12-03 21:00:00,7183,6.16,146.6,15.39,13.62,49.57,29.42,49.06,13.59
70,2017-12-03 22:00:00,7184,8.3,162.4,14.34,16.35,50.14,29.4,49.47,13.59
71,2017-12-03 23:00:00,7185,9.5,166.8,13.71,17.51,50.32,29.38,49.99,13.59
72,2017-12-04 00:00:00,7186,10.75,169.2,14.78,20.77,51.21,29.38,51.3,13.6
