,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2018-02-01 00:00:00,8602,7.082,243.4,12.94,11.34,36.65,29.17,37.7,13.62
1,2018-02-01 01:00:00,8603,7.524,254.2,13.05,13.79,35.5,29.16,37.16,13.59
2,2018-02-01 02:00:00,8604,7.938,258.9,14.38,13.65,34.44,29.16,35.81,13.59
3,2018-02-01 03:00:00,8605,7.653,256.1,17.04,14.56,33.48,29.17,34.09,13.58
4,2018-02-01 04:00:00,8606,7.666,258.7,15.82,14.98,33.73,29.16,33.59,13.59
5,2018-02-01 05:00:00,8607,9.56,260.0,13.25,18.1,33.41,29.17,33.74,13.59
6,2018-02-01 06:00:00,8608,9.63,248.7,11.85,16.21,32.39,29.19,33.32,13.59
7,2018-02-01 07:00:00,8609,12.4,276.8,13.97,25.22,31.7,29.22,32.21,13.61
8,2018-02-01 08:00:00,8610,10.47,285.8,15.51,22.62,30.43,29.26,31.37,13.61
9,2018-02-01 09:00:00,8611,14.22,317.9,13.62,27.81,27.3,29.32,31.14,13.61
10,2018-02-01 10:00:00,8612,13.1,318.3,14.51,25.08,24.4,29.38,32.48,13.61
11,2018-02-01 11:00:00,8613,12.23,324.5,19.31,21.47,22.07,29.43,35.93,13.61
12,2018-02-01 12:00:00,8614,11.7,319.5,17.11,20.28,20.07,29.45,36.43,13.61
13,2018-02-01 13:00:00,8615,11.4,311.1,19.68,20.77,19.72,29.46,36.43,13.61
14,2018-02-01 14:00:00,8616,11.31,297.6,19.4,20.14,19.51,29.47,36.43,13.61
15,2018-02-01 15:00:00,8617,11.23,298.1,22.98,22.52,19.35,29.49,34.62,13.61
16,2018-02-01 16:00:00,8618,13.57,306.0,16.5,23.64,18.0,29.53,31.67,13.6
17,2018-02-01 17:00:00,8619,12.23,307.0,14.82,20.56,16.37,29.57,26.53,13.6
18,2018-02-01 18:00:00,8620,12.1,314.3,15.18,19.86,15.01,29.6,19.84,13.6
19,2018-02-01 19:00:00,8621,12.81,315.1,14.73,24.24,13.9,29.64,16.28,13.6
20,2018-02-01 20:00:00,8622,11.78,313.2,15.54,22.34,13.67,29.68,14.61,13.59
21,2018-02-01 21:00:00,8623,10.53,323.1,14.63,18.14,13.01,29.7,13.62,13.59
22,2018-02-01 22:00:00,8624,11.19,318.0,14.61,19.68,12.28,29.73,12.83,13.59
23,2018-02-01 23:00:00,8625,11.59,321.3,14.75,19.65,11.45,29.75,12.16,13.59
24,2018-02-02 00:00:00,8626,10.95,319.0,13.99,18.59,10.25,29.76,11.41,13.59
25,2018-02-02 01:00:00,8627,10.43,306.8,13.87,17.68,9.03,29.78,10.26,13.57
26,2018-02-02 02:00:00,8628,10.4,317.8,12.79,18.87,7.619,29.8,9.1,13.59
