,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2019-01-01 00:00:00,5289,8.7,299.0,11.67,15.79,35.79,29.26,36.81,13.61
1,2019-01-01 01:00:00,5290,7.938,319.9,16.02,14.6,35.94,29.31,37.08,13.61
2,2019-01-01 02:00:00,5291,6.445,322.1,19.63,12.67,35.94,29.36,37.39,13.61
3,2019-01-01 03:00:00,5292,6.095,334.5,21.03,13.34,35.57,29.41,37.42,13.61
4,2019-01-01 04:00:00,5293,6.15,347.5,20.35,12.18,34.55,29.44,36.85,13.62
5,2019-01-01 05:00:00,5294,7.258,348.7,19.69,15.97,33.29,29.47,35.81,13.62
6,2019-01-01 06:00:00,5295,7.843,357.4,22.12,18.45,32.18,29.5,34.89,13.62
7,2019-01-01 07:00:00,5296,8.74,351.0,21.43,20.24,32.18,29.55,33.78,13.62
8,2019-01-01 08:00:00,5297,8.86,355.2,22.95,17.96,31.95,29.57,33.13,13.63
9,2019-01-01 09:00:00,5298,7.88,5.082,22.14,17.09,31.93,29.6,33.09,13.62
10,2019-01-01 10:00:00,5299,7.189,7.476,22.07,14.39,31.98,29.62,33.63,13.62
11,2019-01-01 11:00:00,5300,5.917,356.5,22.25,12.32,31.78,29.63,34.05,13.62
12,2019-01-01 12:00:00,5301,7.082,349.4,20.13,17.09,31.36,29.63,34.05,13.61
13,2019-01-01 13:00:00,5302,8.2,348.0,19.01,20.52,30.39,29.62,33.97,13.62
14,2019-01-01 14:00:00,5303,8.77,348.1,20.88,17.79,29.56,29.62,33.21,13.62
15,2019-01-01 15:00:00,5304,8.93,341.8,18.98,16.81,28.86,29.63,32.29,13.62
16,2019-01-01 16:00:00,5305,8.04,343.0,18.14,14.91,28.84,29.64,31.48,13.61
17,2019-01-01 17:00:00,5306,7.446,338.5,17.8,13.34,28.9,29.64,31.06,13.61
18,2019-01-01 18:00:00,5307,5.413,311.9,24.27,11.55,29.57,29.66,30.95,13.62
19,2019-01-01 19:00:00,5308,4.059,303.6,19.46,6.784,29.16,29.66,30.95,13.61
20,2019-01-01 20:00:00,5309,4.77,294.5,11.93,7.66,28.92,29.66,30.91,13.61
21,2019-01-01 21:00:00,5310,4.283,291.9,13.22,6.819,28.47,29.65,30.72,13.61
22,2019-01-01 22:00:00,5311,4.632,296.8,13.86,7.625,28.15,29.65,30.45,13.62
23,2019-01-01 23:00:00,5312,3.754,310.8,19.35,6.538,28.05,29.63,30.14,13.62
24,2019-01-02 00:00:00,5313,4.002,292.2,11.82,5.732,28.05,29.63,30.14,13.62
25,2019-01-02 01:00:00,5314,3.404,274.5,14.65,5.136,28.05,29.63,30.22,13.62
26,2019-01-02 02:00:00,5315,2.666,256.5,17.79,4.225,28.1,29.62,30.37,13.62
27,2019-01-02 03:00:00,5316,2.757,250.3,18.39,5.031,28.7,29.6,30.56,13.61
28,2019-01-02 04:00:00,5317,3.396,258.7,14.49,4.961,28.84,29.59,30.76,13.61
29,2019-01-02 05:00:00,5318,3.965,239.7,14.29,7.239,29.02,29.57,30.91,13.61
30,2019-01-02 06:00:00,5319,4.532,214.5,12.91,7.94,29.38,29.56,31.06,13.62
31,2019-01-02 07:00:00,5320,4.274,212.2,13.55,7.8,29.7,29.55,31.45,13.62
32,2019-01-02 08:00:00,5321,4.685,197.5,18.92,9.34,30.39,29.55,31.94,13.62
33,2019-01-02 09:00:00,5322,5.67,180.0,15.44,10.67,31.05,29.55,32.48,13.62
34,2019-01-02 10:00:00,5323,5.042,194.9,18.18,10.92,31.47,29.54,33.32,13.62
35,2019-01-02 11:00:00,5324,7.22,201.1,16.74,16.49,31.93,29.49,34.09,13.62
36,2019-01-02 12:00:00,5325,9.49,220.3,17.41,18.28,31.36,29.45,34.01,13.62
37,2019-01-02 13:00:00,5326,10.85,233.3,17.46,22.13,31.09,29.41,33.4,13.62
38,2019-01-02 14:00:00,5327,10.27,234.0,16.25,20.56,31.17,29.38,33.02,13.63
39,2019-01-02 15:00:00,5328,9.53,236.4,16.54,19.89,30.7,29.37,32.63,13.63
40,2019-01-02 16:00:00,5329,11.14,240.7,16.39,21.33,30.42,29.36,31.91,13.62
