,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2018-07-01 00:00:00,873,6.011,198.5,15.5,13.16,81.6,29.3,83.0,13.61
1,2018-07-01 01:00:00,874,5.906,193.6,15.68,13.16,80.6,29.3,81.6,13.61
2,2018-07-01 02:00:00,875,5.068,185.6,15.62,9.83,79.49,29.29,80.8,13.61
3,2018-07-01 03:00:00,876,5.08,186.6,15.57,10.81,78.76,29.27,79.97,13.61
4,2018-07-01 04:00:00,877,5.751,187.3,15.25,10.11,77.77,29.27,79.42,13.64
5,2018-07-01 05:00:00,878,6.282,189.1,16.84,12.32,77.62,29.27,78.92,13.64
6,2018-07-01 06:00:00,879,7.473,182.6,15.65,15.69,79.08,29.27,80.6,13.64
7,2018-07-01 07:00:00,880,8.24,191.4,16.68,20.28,80.9,29.27,82.6,13.64
8,2018-07-01 08:00:00,881,9.94,186.3,15.9,18.94,83.9,29.26,85.8,13.64
9,2018-07-01 09:00:00,882,12.32,182.0,16.2,23.33,86.7,29.24,90.9,13.64
10,2018-07-01 10:00:00,883,12.75,185.9,16.59,24.41,88.1,29.24,95.4,13.64
11,2018-07-01 11:00:00,884,13.95,188.1,16.52,26.02,89.8,29.23,98.2,13.61
12,2018-07-01 12:00:00,885,15.82,193.7,17.51,30.9,91.3,29.2,100.8,13.64
13,2018-07-01 13:00:00,886,16.31,188.6,16.02,31.63,93.1,29.18,103.1,13.64
14,2018-07-01 14:00:00,887,14.8,189.5,17.35,26.9,93.4,29.15,103.3,13.64
15,2018-07-01 15:00:00,888,15.13,192.6,17.4,31.0,93.6,29.15,102.9,13.49
16,2018-07-01 16:00:00,889,16.81,206.5,16.24,33.14,93.0,29.16,101.2,13.48
17,2018-07-01 17:00:00,890,15.71,242.6,28.91,36.26,86.7,29.19,100.2,13.49
18,2018-07-01 18:00:00,891,11.26,252.6,14.94,21.4,80.7,29.21,91.4,14.77
19,2018-07-01 19:00:00,892,10.42,243.9,14.17,18.35,80.7,29.2,85.4,14.76
20,2018-07-01 20:00:00,893,7.603,229.4,17.18,12.88,80.5,29.22,84.0,14.76
21,2018-07-01 21:00:00,894,7.7,212.5,13.46,15.05,79.4,29.24,83.2,14.76
22,2018-07-01 22:00:00,895,6.17,226.1,16.54,12.36,78.4,29.26,82.2,14.76
23,2018-07-01 23:00:00,896,6.714,240.4,13.08,12.81,77.6,29.27,80.7,14.78
24,2018-07-02 00:00:00,897,6.578,244.8,13.55,13.16,77.08,29.28,79.75,14.77
25,2018-07-02 01:00:00,898,7.285,248.4,11.84,13.27,76.12,29.29,79.09,14.77
26,2018-07-02 02:00:00,899,5.75,264.6,12.24,11.23,75.62,29.3,78.27,13.62
27,2018-07-02 03:00:00,900,3.948,279.4,13.55,6.889,74.44,29.31,77.4,13.62
28,2018-07-02 04:00:00,901,4.894,309.4,12.3,9.9,74.1,29.32,75.91,13.62
29,2018-07-02 05:00:00,902,3.646,318.3,15.05,6.784,73.04,29.34,74.65,13.62
30,2018-07-02 06:00:00,903,3.962,8.4,20.6,7.835,72.68,29.36,74.6,13.62
31,2018-07-02 07:00:00,904,6.847,9.58,18.69,13.23,71.36,29.39,74.6,13.61
32,2018-07-02 08:00:00,905,8.45,31.36,17.03,14.49,70.89,29.41,74.19,13.62
33,2018-07-02 09:00:00,906,7.819,31.17,22.42,13.27,70.65,29.42,75.85,14.77
34,2018-07-02 10:00:00,907,8.31,32.43,20.53,13.09,70.96,29.43,84.5,14.77
35,2018-07-02 11:00:00,908,7.827,56.18,22.18,12.78,71.52,29.44,86.7,14.77
36,2018-07-02 12:00:00,909,7.769,67.5,22.73,13.27,72.22,29.45,91.1,13.62
37,2018-07-02 13:00:00,910,7.688,79.44,21.35,13.02,72.86,29.45,91.8,13.62
38,2018-07-02 14:00:00,911,7.773,73.04,20.32,12.29,72.78,29.45,91.8,13.62
39,2018-07-02 15:00:00,912,7.197,75.66,19.33,12.5,73.47,29.44,91.2,13.63
40,2018-07-02 16:00:00,913,6.926,75.64,17.83,11.02,73.65,29.43,89.8,13.63
41,2018-07-02 17:00:00,914,5.993,65.88,19.77,9.48,74.25,29.43,88.5,13.63
42,2018-07-02 18:00:00,915,6.091,82.8,19.28,11.16,73.78,29.43,87.6,13.63
43,2018-07-02 19:00:00,916,4.644,71.49,18.0,8.68,73.13,29.44,85.5,13.63
44,2018-07-02 20:00:00,917,3.454,69.55,20.75,6.538,70.44,29.44,81.2,13.63
45,2018-07-02 21:00:00,918,2.218,73.01,30.28,4.821,69.55,29.46,73.52,13.62
46,2018-07-02 22:00:00,919,1.853,80.8,32.02,3.7,68.79,29.46,69.53,13.62
47,2018-07-02 23:00:00,920,1.99,90.5,24.74,4.19,67.92,29.47,67.9,13.62
48,2018-07-03 00:00:00,921,2.942,90.3,27.97,6.048,67.75,29.47,66.85,13.62
49,2018-07-03 01:00:00,922,1.827,83.4,37.96,5.031,67.8,29.48,66.38,13.62
50,2018-07-03 02:00:00,923,1.891,69.79,23.3,3.875,67.77,29.47,66.43,13.62
51,2018-07-03 03:00:00,924,1.708,55.37,25.88,3.279,67.7,29.47,66.76,13.62
52,2018-07-03 04:00:00,925,2.171,21.08,16.71,4.12,67.47,29.47,67.33,13.63
53,2018-07-03 05:00:00,926,4.18,26.59,14.1,7.134,68.0,29.48,68.33,13.63
54,2018-07-03 06:00:00,927,4.647,37.68,15.9,8.4,69.6,29.49,71.15,13.63
55,2018-07-03 07:00:00,928,4.478,52.42,20.48,7.52,70.78,29.49,73.26,13.63
56,2018-07-03 08:00:00,929,5.032,66.91,20.67,9.31,72.19,29.5,75.33,13.63
57,2018-07-03 09:00:00,930,5.014,67.37,26.2,8.89,74.92,29.5,79.86,13.63
58,2018-07-03 10:00:00,931,5.011,42.9,28.27,8.12,77.41,29.51,91.8,13.63
59,2018-07-03 11:00:00,932,6.823,28.41,16.57,10.78,78.6,29.51,93.0,13.63
60,2018-07-03 12:00:00,933,7.217,43.88,16.18,12.01,80.0,29.5,95.6,13.63
61,2018-07-03 13:00:00,934,8.35,39.85,16.33,13.58,81.4,29.5,96.6,13.63
62,2018-07-03 14:00:00,935,8.34,44.51,16.63,16.0,82.6,29.49,98.0,13.63
63,2018-07-03 15:00:00,936,8.79,39.86,17.52,16.67,81.3,29.47,96.9,13.63
64,2018-07-03 16:00:00,937,7.193,62.94,22.37,13.23,81.5,29.47,96.1,13.63
65,2018-07-03 17:00:00,938,6.565,70.37,20.37,11.97,81.2,29.47,95.6,13.63
66,2018-07-03 18:00:00,939,5.909,67.67,22.7,11.87,81.1,29.47,94.6,13.63
67,2018-07-03 19:00:00,940,5.036,74.25,20.38,9.83,79.26,29.47,91.6,13.63
68,2018-07-03 20:00:00,941,3.487,72.01,25.61,8.64,77.89,29.48,86.3,13.62
69,2018-07-03 21:00:00,942,3.432,82.4,20.92,6.714,77.0,29.5,81.3,13.63
70,2018-07-03 22:00:00,943,2.775,76.18,20.95,6.363,76.02,29.5,79.09,13.63
71,2018-07-03 23:00:00,944,1.468,133.2,58.51,4.155,76.58,29.5,77.94,13.63
72,2018-07-04 00:00:00,945,2.625,196.5,24.56,6.048,79.31,29.51,79.25,13.61
73,2018-07-04 01:00:00,946,4.958,183.3,16.48,11.69,80.0,29.52,80.1,13.64
74,2018-07-04 02:00:00,947,5.613,189.3,14.96,11.59,78.79,29.52,80.0,13.63
75,2018-07-04 03:00:00,948,5.39,193.6,14.54,10.81,77.41,29.53,79.31,13.63
76,2018-07-04 04:00:00,949,3.981,196.3,17.66,7.765,76.4,29.54,78.32,13.63
77,2018-07-04 05:00:00,950,2.389,162.4,18.74,5.557,76.02,29.54,77.35,13.63
