,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2018-05-01 00:00:00,10738,10.03,193.2,14.97,20.42,63.72,29.34,64.71,13.61
1,2018-05-01 01:00:00,10739,9.12,200.1,14.96,17.26,63,29.34,63.12,13.63
2,2018-05-01 02:00:00,10740,8.7,206.9,12.75,15.58,62.31,29.35,62.67,13.63
3,2018-05-01 03:00:00,10741,7.715,207.4,14.23,14,61.57,29.37,61.99,13.63
4,2018-05-01 04:00:00,10742,6.712,194.9,14.4,12.67,59.93,29.37,60.92,13.63
5,2018-05-01 05:00:00,10743,6.372,191.9,13.01,12.67,57.96,29.37,59.08,13.63
6,2018-05-01 06:00:00,10744,7.371,193.3,13.55,16.56,58.73,29.37,58.26,13.63
7,2018-05-01 07:00:00,10745,9.73,205.3,14.03,19.89,62.05,29.37,61.9,13.63
8,2018-05-01 08:00:00,10746,10.92,207,14.14,20.14,66,29.37,66.29,13.63
9,2018-05-01 09:00:00,10747,12.71,210.6,13.03,22.59,70.18,29.37,74.34,13.63
10,2018-05-01 10:00:00,10748,12.29,209.5,14.93,21.82,75.55,29.35,84.1,13.64
11,2018-05-01 11:00:00,10749,13.64,214.3,16.39,24.1,79.38,29.34,88.3,13.64
12,2018-05-01 12:00:00,10750,14.73,233.2,20.23,28.41,81.3,29.33,90.6,13.64
13,2018-05-01 13:00:00,10751,15.79,218.9,19.03,30.16,83.4,29.32,92.3,13.65
14,2018-05-01 14:00:00,10752,13.78,219.6,19.46,30.16,84.3,29.3,92.7,13.62
15,2018-05-01 15:00:00,10753,14.62,213.9,18.9,30.05,85.2,29.28,93.2,13.62
16,2018-05-01 16:00:00,10754,14.81,204.6,15.75,28.79,85.5,29.26,93.1,13.64
17,2018-05-01 17:00:00,10755,15.94,203.5,15.14,32.16,83.9,29.25,90.8,13.65
18,2018-05-01 18:00:00,10756,14.7,202,15.08,28.02,82.7,29.25,88.1,13.64
19,2018-05-01 19:00:00,10757,12.93,197.7,15.77,26.23,80.8,29.24,86.1,13.64
20,2018-05-01 20:00:00,10758,13.55,200.4,15.2,27.39,78.35,29.24,81.3,13.62
21,2018-05-01 21:00:00,10759,12.89,200.3,15.76,28.48,76.35,29.26,78.38,13.64
22,2018-05-01 22:00:00,10760,12.22,201.1,15.5,25.29,75.08,29.27,76.65,13.62
23,2018-05-01 23:00:00,10761,15.23,208.2,12.96,26.59,74.14,29.27,75.22,13.64
24,2018-05-02 00:00:00,10762,18.01,210.7,12.88,31.21,73.45,29.27,74.7,14.66
25,2018-05-02 01:00:00,10763,16.74,211.2,11.94,32.47,72.25,29.26,74.39,14.66
26,2018-05-02 02:00:00,10764,16.16,212.6,13.58,28.58,71.34,29.26,73.52,13.66
27,2018-05-02 03:00:00,10765,13.8,211.9,13.91,29.39,71.04,29.25,73.06,13.63
28,2018-05-02 04:00:00,10766,12.81,214.7,14.7,26.02,70.43,29.25,72.15,13.62
29,2018-05-02 05:00:00,10767,10.5,213.4,14.94,20.35,69.59,29.26,71.3,13.61
30,2018-05-02 06:00:00,10768,10.71,212,13.26,19.68,68.55,29.27,69.78,13.61
31,2018-05-02 07:00:00,10769,11.26,212.4,13.36,20.03,69.29,29.28,70.71,13.63
32,2018-05-02 08:00:00,10770,10.76,220.7,17.94,23.19,72.29,29.28,74.03,13.63
33,2018-05-02 09:00:00,10771,12.2,228.9,17.31,25.81,76.44,29.28,80.9,13.61
34,2018-05-02 10:00:00,10772,13.32,235.5,16.45,27.08,77.5,29.29,82.4,13.64
35,2018-05-02 11:00:00,10773,13.12,220.8,18.82,28.34,79.86,29.29,88.3,13.64
36,2018-05-02 12:00:00,10774,14.2,239.9,19.22,25.46,82.6,29.28,91.7,13.63
37,2018-05-02 13:00:00,10775,14.73,243.4,16.03,25.74,84.2,29.27,94.2,13.64
38,2018-05-02 14:00:00,10776,12.31,236,20.06,23.75,85.1,29.26,96.1,13.64
39,2018-05-02 15:00:00,10777,13.04,241.3,19.29,25.95,86,29.24,96.2,13.64
40,2018-05-02 16:00:00,10778,10.3,224.9,17.58,19.65,85.5,29.22,95.9,13.64
41,2018-05-02 17:00:00,10779,8.67,237.8,38.97,21.78,78.69,29.23,88.7,13.62
42,2018-05-02 18:00:00,10780,4.057,202.6,42.1,9.69,75.91,29.21,82,13.64
43,2018-05-02 19:00:00,10781,2.137,143.3,30.6,4.681,74.1,29.2,79.09,13.62
44,2018-05-02 20:00:00,10782,5.416,37.44,88.4,17.3,71.61,29.24,76.22,13.63
45,2018-05-02 21:00:00,10783,4.97,91.2,34.08,10.53,63.17,29.25,73.88,13.61
46,2018-05-02 22:00:00,10784,5.368,145.7,18.13,10.25,65.01,29.25,67.18,13.61
47,2018-05-02 23:00:00,10785,6.118,9.87,47.49,16.46,62.79,29.28,67.42,13.63
48,2018-05-03 00:00:00,10786,6.131,346.9,77.86,14.74,63.58,29.3,65.64,13.6
49,2018-05-03 01:00:00,10787,3.129,107,25.71,7.064,63.2,29.29,64.81,13.61
50,2018-05-03 02:00:00,10788,3.412,153.8,17.87,6.924,62.99,29.26,63.94,13.63
51,2018-05-03 03:00:00,10789,4.289,154.6,30.67,9.9,63.6,29.25,64.67,13.63
52,2018-05-03 04:00:00,10790,3.608,282.7,56.55,8.12,63.65,29.27,64.67,13.63
53,2018-05-03 05:00:00,10791,3.007,96.9,36.57,8.01,63.23,29.24,64.53,13.63
54,2018-05-03 06:00:00,10792,3.629,151.6,69.29,9.66,62.08,29.26,64.07,13.6
55,2018-05-03 07:00:00,10793,2.187,140.8,29.35,6.678,63.66,29.26,65.73,13.61
56,2018-05-03 08:00:00,10794,5.335,326.5,79.12,16.35,62.62,29.27,67.56,13.63
57,2018-05-03 09:00:00,10795,5.987,12.88,21.18,12.01,53.97,29.28,65.59,13.6
58,2018-05-03 10:00:00,10796,5.769,23.83,17.79,12.53,53.23,29.3,64.53,13.63
59,2018-05-03 11:00:00,10797,10.07,25.29,16.43,16.67,47.52,29.33,63.16,13.6
60,2018-05-03 12:00:00,10798,8.41,41.24,25.63,14.74,47.62,29.34,60.48,13.62
61,2018-05-03 13:00:00,10799,5.775,70.28,21.54,9.55,49.64,29.34,66.43,13.63
62,2018-05-03 14:00:00,10800,5.376,44.15,22.07,11.09,48.73,29.33,63.39,13.63
63,2018-05-03 15:00:00,10801,5.805,62.8,20.86,9.97,50.86,29.31,60.53,13.61
64,2018-05-03 16:00:00,10802,4.215,63.45,37.53,9.59,49.78,29.3,58.91,13.6
65,2018-05-03 17:00:00,10803,3.524,82.6,27.24,6.889,51.64,29.29,57.01,13.6
66,2018-05-03 18:00:00,10804,4.635,42.78,29.04,9.06,49.76,29.27,56.42,13.6
67,2018-05-03 19:00:00,10805,4.677,63.83,15.86,8.4,47.99,29.25,53.69,13.62
68,2018-05-03 20:00:00,10806,3.614,43.37,26.37,7.52,48.14,29.23,52.24,13.6
69,2018-05-03 21:00:00,10807,7.436,173.9,61.32,21.01,60.7,29.22,62.53,13.61
70,2018-05-03 22:00:00,10808,11.04,188.7,15.39,23.4,67.42,29.19,66.48,13.63
71,2018-05-03 23:00:00,10809,11.69,191.3,15.24,20.24,65.98,29.17,66.81,13.63
72,2018-05-04 00:00:00,10810,11.74,191,14.98,22.38,65.83,29.14,66.71,13.64
73,2018-05-04 01:00:00,10811,11.61,200.2,16.05,26.3,65.82,29.11,66.62,13.64
74,2018-05-04 02:00:00,10812,12.76,204.9,14.66,26.02,65.2,29.09,66.71,13.64
75,2018-05-04 03:00:00,10813,14.42,212.1,14.3,26.16,65.83,29.08,67.18,13.64
76,2018-05-04 04:00:00,10814,14.53,211.1,13.68,28.93,65.83,29.05,67.18,13.63
77,2018-05-04 05:00:00,10815,13.77,217.3,16.61,28.41,65.89,29.05,67.09,13.61
78,2018-05-04 06:00:00,10816,14.32,222.2,16.96,29.7,65.83,29.06,67.18,13.64
79,2018-05-04 07:00:00,10817,19.69,247,17.12,38.36,66.4,29.09,68.57,13.66
80,2018-05-04 08:00:00,10818,19.5,271.5,15.26,41.16,65.29,29.14,69.05,14.66
