,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2019-11-01 00:00:00,12585,7.264,252.6,13.43,13.34,27.36,29.51,28.18,13.62
1,2019-11-01 01:00:00,12586,6.455,245.1,13.21,10.22,26.88,29.51,27.38,13.62
2,2019-11-01 02:00:00,12587,6.747,247.2,11.88,10.99,26.46,29.52,26.53,13.62
3,2019-11-01 03:00:00,12588,6.59,246.1,12.21,11.02,26.51,29.53,26.18,13.62
4,2019-11-01 04:00:00,12589,5.212,228.3,16.33,10.6,26.61,29.54,26.14,13.62
5,2019-11-01 05:00:00,12590,5.706,206.6,13.68,10.29,26.49,29.55,26.1,13.62
6,2019-11-01 06:00:00,12591,6.218,211.5,13.22,11.62,27.04,29.55,26.25,13.62
7,2019-11-01 07:00:00,12592,6.017,209.8,13.41,11.02,27.21,29.55,26.49,13.62
8,2019-11-01 08:00:00,12593,7.083,211.9,12.98,13.65,27.72,29.57,32.48,13.62
9,2019-11-01 09:00:00,12594,7.812,210.7,13.17,14.39,30.23,29.58,38.42,13.62
10,2019-11-01 10:00:00,12595,6.834,208.4,15.97,11.48,33.79,29.58,47.26,13.63
11,2019-11-01 11:00:00,12596,8.17,200.9,18.07,14.32,38.14,29.59,52.94,13.63
12,2019-11-01 12:00:00,12597,9.42,190.6,17.22,21.75,40.15,29.56,52.82,13.63
13,2019-11-01 13:00:00,12598,11.24,200.7,18.06,24.94,42.77,29.54,54.98,13.63
14,2019-11-01 14:00:00,12599,11.28,197.5,18.23,22.73,44.33,29.52,55.19,13.64
15,2019-11-01 15:00:00,12600,11.88,192.0,15.85,21.4,44.53,29.51,53.81,13.64
16,2019-11-01 16:00:00,12601,9.3,200.4,17.41,20.87,44.46,29.5,50.12,13.63
17,2019-11-01 17:00:00,12602,8.27,197.0,17.91,16.42,44.08,29.49,47.3,13.63
18,2019-11-01 18:00:00,12603,7.623,190.5,16.71,13.83,43.45,29.49,45.4,13.63
19,2019-11-01 19:00:00,12604,6.998,204.5,15.45,13.62,43.05,29.49,44.42,13.63
20,2019-11-01 20:00:00,12605,5.861,228.8,16.85,11.55,43.05,29.48,43.83,13.63
21,2019-11-01 21:00:00,12606,7.497,240.4,21.39,23.96,42.34,29.48,43.39,13.63
22,2019-11-01 22:00:00,12607,10.84,260.2,15.49,19.89,39.66,29.49,43.28,13.63
23,2019-11-01 23:00:00,12608,8.08,255.0,14.57,14.81,37.6,29.49,40.71,13.63
24,2019-11-02 00:00:00,12609,7.574,258.8,14.15,14.14,37.52,29.49,39.62,13.63
25,2019-11-02 01:00:00,12610,7.223,252.7,14.4,12.53,37.52,29.48,39.32,13.63
26,2019-11-02 02:00:00,12611,6.716,252.2,15.33,12.25,37.52,29.48,39.27,13.62
27,2019-11-02 03:00:00,12612,6.297,255.1,16.67,11.97,37.5,29.47,39.39,13.61
