,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2017-10-01 00:00:00,5650,4.947,143.5,17.07,9.69,57.61,29.68,57.61,13.6
1,2017-10-01 01:00:00,5651,5.396,144.1,15.85,12.36,56.75,29.67,56.12,13.62
2,2017-10-01 02:00:00,5652,7.276,151.7,16.4,16.91,55.46,29.67,55.27,13.6
3,2017-10-01 03:00:00,5653,6.319,160.8,15.05,12.43,53.51,29.66,54.56,13.6
4,2017-10-01 04:00:00,5654,4.913,163.4,14.55,10.39,52.3,29.66,53.06,13.62
5,2017-10-01 05:00:00,5655,6.374,158.0,15.02,13.41,51.47,29.64,51.71,13.62
6,2017-10-01 06:00:00,5656,5.47,159.8,16.03,13.09,50.83,29.65,50.89,13.62
7,2017-10-01 07:00:00,5657,5.695,157.1,16.18,12.85,51.32,29.65,51.91,13.6
8,2017-10-01 08:00:00,5658,7.847,160.9,15.25,15.62,53.59,29.65,55.7,13.6
9,2017-10-01 09:00:00,5659,6.976,168.7,18.15,15.48,57.03,29.65,64.62,13.61
10,2017-10-01 10:00:00,5660,7.649,165.4,18.97,16.77,61.21,29.63,73.32,13.61
11,2017-10-01 11:00:00,5661,8.92,169.0,22.77,17.12,64.64,29.6,77.29,13.61
12,2017-10-01 12:00:00,5662,7.317,153.6,24.86,15.62,66.16,29.58,78.38,13.61
13,2017-10-01 13:00:00,5663,8.66,159.1,24.3,17.75,69.11,29.55,81.9,13.61
14,2017-10-01 14:00:00,5664,7.924,149.2,25.76,15.3,69.81,29.52,82.0,13.61
15,2017-10-01 15:00:00,5665,6.759,144.5,24.29,13.79,69.84,29.5,79.42,13.62
16,2017-10-01 16:00:00,5666,4.934,118.3,33.14,11.8,70.24,29.49,77.73,13.62
17,2017-10-01 17:00:00,5667,4.877,119.7,33.86,13.09,69.74,29.49,78.49,13.63
18,2017-10-01 18:00:00,5668,5.459,138.4,22.77,13.55,68.53,29.49,73.62,13.63
19,2017-10-01 19:00:00,5669,4.121,131.2,28.29,11.87,67.29,29.49,68.86,13.63
20,2017-10-01 20:00:00,5670,4.533,130.3,31.38,13.16,66.52,29.48,66.53,13.61
21,2017-10-01 21:00:00,5671,7.553,141.7,21.1,17.72,66.01,29.47,65.22,13.61
22,2017-10-01 22:00:00,5672,5.2,148.7,16.46,11.41,62.76,29.48,64.57,13.61
23,2017-10-01 23:00:00,5673,5.134,155.0,16.27,10.88,61.39,29.48,61.95,13.63
24,2017-10-02 00:00:00,5674,5.93,161.9,14.58,12.36,61.5,29.48,60.66,13.61
25,2017-10-02 01:00:00,5675,5.221,160.2,14.92,10.18,60.61,29.49,60.66,13.6
26,2017-10-02 02:00:00,5676,4.858,161.9,16.02,9.27,60.62,29.48,60.75,13.6
27,2017-10-02 03:00:00,5677,4.703,166.1,15.41,10.74,61.02,29.49,60.92,13.61
28,2017-10-02 04:00:00,5678,5.42,163.4,15.38,10.67,61.15,29.5,61.37,13.61
29,2017-10-02 05:00:00,5679,6.442,169.7,15.3,13.27,61.92,29.5,61.77,13.63
30,2017-10-02 06:00:00,5680,6.33,180.3,16.09,12.11,62.45,29.52,62.57,13.63
31,2017-10-02 07:00:00,5681,7.554,179.2,14.23,13.93,63.06,29.53,63.84,13.63
32,2017-10-02 08:00:00,5682,8.91,184.9,16.44,16.56,65.51,29.54,67.0,13.61
33,2017-10-02 09:00:00,5683,8.29,192.4,17.74,17.44,68.1,29.56,75.12,13.63
34,2017-10-02 10:00:00,5684,8.47,192.1,19.46,15.69,73.21,29.56,84.0,13.61
35,2017-10-02 11:00:00,5685,9.67,177.8,26.6,17.12,76.62,29.54,89.7,13.61
36,2017-10-02 12:00:00,5686,9.24,194.2,23.43,22.27,78.1,29.53,90.3,13.61
37,2017-10-02 13:00:00,5687,10.81,173.2,19.91,21.54,80.7,29.51,90.3,13.61
38,2017-10-02 14:00:00,5688,11.28,169.0,17.82,25.08,82.1,29.5,91.8,13.63
39,2017-10-02 15:00:00,5689,10.54,162.7,18.85,22.27,83.1,29.5,91.9,13.64
40,2017-10-02 16:00:00,5690,9.7,164.9,15.71,20.38,81.7,29.5,89.7,13.61
41,2017-10-02 17:00:00,5691,8.49,160.8,15.7,16.21,80.7,29.51,84.7,13.64
42,2017-10-02 18:00:00,5692,6.334,154.3,15.84,14.21,78.82,29.52,81.8,13.64
43,2017-10-02 19:00:00,5693,4.855,151.9,15.79,9.38,76.17,29.53,78.54,13.63
44,2017-10-02 20:00:00,5694,5.87,154.1,15.41,11.09,74.3,29.55,75.7,13.64
45,2017-10-02 21:00:00,5695,7.017,159.8,14.53,13.97,72.96,29.55,74.09,13.61
46,2017-10-02 22:00:00,5696,7.691,163.5,13.76,15.44,71.4,29.55,72.71,13.63
47,2017-10-02 23:00:00,5697,8.08,165.4,14.44,15.3,70.23,29.55,71.4,13.61
48,2017-10-03 00:00:00,5698,9.43,171.2,15.71,19.4,69.86,29.54,70.32,13.61
49,2017-10-03 01:00:00,5699,9.5,182.1,15.43,19.01,68.75,29.56,69.44,13.63
50,2017-10-03 02:00:00,5700,8.74,185.2,15.51,18.21,67.51,29.56,68.62,13.63
51,2017-10-03 03:00:00,5701,8.47,184.1,15.3,16.14,67.25,29.56,67.66,13.63
52,2017-10-03 04:00:00,5702,9.12,183.9,15.52,18.8,67.4,29.56,67.33,13.63
53,2017-10-03 05:00:00,5703,9.19,184.3,15.18,21.4,66.66,29.58,67.38,13.63
54,2017-10-03 06:00:00,5704,9.57,184.4,15.0,20.38,66.98,29.6,67.33,13.63
55,2017-10-03 07:00:00,5705,10.57,185.1,15.88,21.68,66.97,29.61,68.14,13.63
56,2017-10-03 08:00:00,5706,10.2,195.5,17.01,19.82,69,29.63,72.1,13.63
57,2017-10-03 09:00:00,5707,11.79,199.0,18.23,22.84,72.55,29.63,78.32,13.63
58,2017-10-03 10:00:00,5708,11.8,205.2,16.56,22.52,75.03,29.63,80.6,13.64
59,2017-10-03 11:00:00,5709,11.6,200.9,18.65,23.57,76.78,29.63,82.2,13.64
60,2017-10-03 12:00:00,5710,10.47,222.0,21.09,23.15,75.98,29.63,82.4,13.61
61,2017-10-03 13:00:00,5711,6.914,240.3,16.88,13.41,75.94,29.62,82.3,13.64
62,2017-10-03 14:00:00,5712,10.73,205.9,18.19,24.66,78.29,29.61,85.0,13.61
63,2017-10-03 15:00:00,5713,12.76,193.5,17.83,23.82,78.7,29.6,85.9,13.63
64,2017-10-03 16:00:00,5714,11.08,193.6,18.11,20.49,78.85,29.6,83.6,13.61
65,2017-10-03 17:00:00,5715,9.59,190.0,16.14,19.37,76.95,29.62,82.4,13.61
66,2017-10-03 18:00:00,5716,10.47,185.5,15.32,20.63,74.17,29.62,78.92,13.64
67,2017-10-03 19:00:00,5717,10.17,186.3,15.67,21.78,72.87,29.62,76.01,13.62
68,2017-10-03 20:00:00,5718,8.35,197.8,17.15,16.63,72.15,29.63,74.5,13.64
69,2017-10-03 21:00:00,5719,8.61,194.3,16.09,17.79,71.28,29.63,73.06,13.63
70,2017-10-03 22:00:00,5720,9.29,200.3,16.28,19.47,70.21,29.63,72.2,13.61
71,2017-10-03 23:00:00,5721,11.62,210.3,11.94,19.16,70.36,29.64,71.4,13.63
72,2017-10-04 00:00:00,5722,11.79,212.4,13.57,21.92,70.81,29.65,72.26,13.62
73,2017-10-04 01:00:00,5723,10.07,213.8,15.3,19.68,71.33,29.64,72.91,13.64
74,2017-10-04 02:00:00,5724,10.94,215.1,16.2,22.17,72.04,29.63,73.11,13.64
75,2017-10-04 03:00:00,5725,11.18,230.4,14.48,20.84,72.17,29.63,73.32,13.63
76,2017-10-04 04:00:00,5726,8.31,226.2,16.9,16.63,72.23,29.63,73.57,13.62
77,2017-10-04 05:00:00,5727,8.68,220.0,15.34,16.32,72.22,29.63,73.62,13.64
78,2017-10-04 06:00:00,5728,7.975,218.5,16.94,14.91,72.08,29.63,73.57,13.63
79,2017-10-04 07:00:00,5729,9.33,216.2,17.27,18.28,71.61,29.64,73.57,13.62
80,2017-10-04 08:00:00,5730,8.44,230.8,17.08,19.4,71.24,29.65,73.32,13.61
81,2017-10-04 09:00:00,5731,8.12,245.2,16.93,16.84,71.77,29.64,75.75,13.62
82,2017-10-04 10:00:00,5732,9.05,262.4,14.61,17.44,72.03,29.65,76.01,13.63
83,2017-10-04 11:00:00,5733,6.04,357.8,36.65,16.11,65.78,29.67,73.47,13.61
84,2017-10-04 12:00:00,5734,6.453,359.6,29.3,14.04,65.85,29.66,68.62,13.61
85,2017-10-04 13:00:00,5735,5.865,25.06,23.0,11.66,65.31,29.65,69.1,13.61
86,2017-10-04 14:00:00,5736,4.847,65.68,28.47,9.1,65.43,29.63,74.65,13.61
87,2017-10-04 15:00:00,5737,4.238,107.8,31.38,10.36,68.01,29.61,78.92,13.63
88,2017-10-04 16:00:00,5738,3.494,81.2,34.97,7.169,67.61,29.6,79.92,13.62
89,2017-10-04 17:00:00,5739,4.768,89.0,19.79,9.69,66.14,29.6,74.91,13.62
90,2017-10-04 18:00:00,5740,3.139,111.0,32.48,7.765,64.49,29.6,70.51,13.61
91,2017-10-04 19:00:00,5741,2.572,158.4,15.75,5.171,64.28,29.6,66.15,13.61
92,2017-10-04 20:00:00,5742,2.084,159.2,26.04,4.751,63.44,29.6,64.71,13.61
93,2017-10-04 21:00:00,5743,3.346,188.9,14.79,5.943,63.19,29.6,63.66,13.61
94,2017-10-04 22:00:00,5744,2.231,209.1,22.22,4.541,63.26,29.6,63.57,13.61
95,2017-10-04 23:00:00,5745,2.088,207.7,29.4,4.961,63.84,29.6,63.94,13.61
96,2017-10-05 00:00:00,5746,1.664,216.7,25.22,3.594,62.83,29.59,63.84,13.61
97,2017-10-05 01:00:00,5747,2.489,289.3,27.86,4.751,63.04,29.58,62.93,13.61
98,2017-10-05 02:00:00,5748,2.728,291.5,23.22,5.732,62.93,29.58,62.93,13.61
99,2017-10-05 03:00:00,5749,3.753,325.8,14.66,7.344,62.4,29.58,62.89,13.61
100,2017-10-05 04:00:00,5750,1.557,343.4,34.72,6.223,61.94,29.58,62.67,13.61
101,2017-10-05 05:00:00,5751,3.109,2.203,24.28,7.73,62.28,29.57,61.9,13.63
102,2017-10-05 06:00:00,5752,2.622,5.022,25.94,6.608,61.75,29.57,61.59,13.62
103,2017-10-05 07:00:00,5753,2.324,249.4,41.73,4.961,60.63,29.58,60.17,13.62
