,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2017-06-01 00:00:00,2722,3.749,235.9,16.4,8.43,63.22,29.38,63.84,13.6
1,2017-06-01 01:00:00,2723,3.79,229.3,14.39,6.854,61.62,29.39,62.3,13.6
2,2017-06-01 02:00:00,2724,4.368,233.9,13.64,7.87,61.4,29.4,60.7,13.59
3,2017-06-01 03:00:00,2725,4.38,264.6,14.73,9.27,60.39,29.4,59.95,13.59
4,2017-06-01 04:00:00,2726,4.315,256.0,17.77,7.66,58.92,29.4,58.82,13.59
5,2017-06-01 05:00:00,2727,3.09,243.0,20.93,5.592,57.39,29.41,57.74,13.59
6,2017-06-01 06:00:00,2728,3.523,266.9,23.72,8.08,58.84,29.43,59.65,13.59
7,2017-06-01 07:00:00,2729,3.718,349.5,41.9,7.59,60.76,29.44,61.06,13.6
8,2017-06-01 08:00:00,2730,3.441,2.872,25.28,6.468,62.25,29.46,62.89,13.6
9,2017-06-01 09:00:00,2731,3.327,350.7,32.42,5.978,65.15,29.46,70.51,13.6
10,2017-06-01 10:00:00,2732,4.399,18.28,49.7,9.24,69.2,29.47,83.2,13.6
11,2017-06-01 11:00:00,2733,5.836,92.5,18.9,10.32,68.35,29.46,84.5,13.63
12,2017-06-01 12:00:00,2734,5.913,84.8,17.94,10.81,68.59,29.45,87.9,13.63
13,2017-06-01 13:00:00,2735,6.905,78.61,17.19,11.48,69.83,29.44,89.0,13.61
14,2017-06-01 14:00:00,2736,7.035,78.65,17.36,12.25,70.63,29.43,88.6,13.63
15,2017-06-01 15:00:00,2737,7.425,80.1,17.49,13.69,69.84,29.41,88.2,13.63
16,2017-06-01 16:00:00,2738,7.805,85.5,17.05,14.21,70.12,29.4,85.9,13.63
17,2017-06-01 17:00:00,2739,7.008,84.8,20.4,15.69,69.09,29.4,83.8,13.63
18,2017-06-01 18:00:00,2740,6.922,90.1,21.08,13.58,69.14,29.39,82.0,13.63
19,2017-06-01 19:00:00,2741,6.446,90.8,18.49,12.67,67.87,29.39,79.47,13.63
20,2017-06-01 20:00:00,2742,5.553,90.3,17.02,10.22,64.4,29.4,74.14,13.62
21,2017-06-01 21:00:00,2743,4.499,90.8,17.29,9.03,64.1,29.41,66.9,13.62
22,2017-06-01 22:00:00,2744,3.532,93.2,19.88,7.274,63.04,29.42,63.8,13.6
23,2017-06-01 23:00:00,2745,1.893,115.5,33.42,5.101,62.41,29.42,62.21,13.62
24,2017-06-02 00:00:00,2746,0.97,198.6,26.45,2.157,61.79,29.42,60.92,13.62
25,2017-06-02 01:00:00,2747,2.35,184.8,13.76,5.452,61.27,29.42,59.69,13.62
26,2017-06-02 02:00:00,2748,3.728,195.0,14.17,6.643,60.63,29.43,59.12,13.62
27,2017-06-02 03:00:00,2749,2.459,208.9,16.4,4.611,59.91,29.43,58.99,13.62
28,2017-06-02 04:00:00,2750,2.772,200.1,8.49,5.207,59.1,29.44,58.08,13.62
29,2017-06-02 05:00:00,2751,3.958,195.0,12.07,6.714,59.6,29.45,58.26,13.59
30,2017-06-02 06:00:00,2752,3.325,209.1,16.19,7.73,63.43,29.46,63.25,13.6
31,2017-06-02 07:00:00,2753,4.624,212.7,12.93,8.75,67.22,29.47,66.76,13.62
32,2017-06-02 08:00:00,2754,5.235,216.3,18.49,9.55,70.99,29.47,70.81,13.62
33,2017-06-02 09:00:00,2755,5.579,209.7,23.25,10.64,74.95,29.47,78.7,13.62
34,2017-06-02 10:00:00,2756,4.514,213.0,40.14,10.46,78.16,29.46,91.1,13.63
35,2017-06-02 11:00:00,2757,5.298,131.8,69.41,10.5,79.09,29.45,92.9,13.61
36,2017-06-02 12:00:00,2758,6.973,84.3,25.07,12.39,78.47,29.44,96.2,13.61
37,2017-06-02 13:00:00,2759,7.566,81.6,20.14,12.43,80.0,29.43,97.4,13.63
38,2017-06-02 14:00:00,2760,7.852,81.3,18.09,15.26,80.4,29.41,97.8,13.63
39,2017-06-02 15:00:00,2761,8.08,83.1,17.75,15.62,79.27,29.41,96.8,13.63
40,2017-06-02 16:00:00,2762,7.323,87.9,20.28,15.55,78.41,29.4,94.3,13.63
