,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2017-05-01 00:00:00,1978,3.523,212.6,76.39,25.08,52.29,28.9,53.02,13.61
1,2017-05-01 01:00:00,1979,3.298,234.6,60.75,11.62,55.28,28.87,56.16,13.61
2,2017-05-01 02:00:00,1980,3.754,138.7,29.91,8.99,57.94,28.84,57.4,13.62
3,2017-05-01 03:00:00,1981,4.974,166.7,17.94,13.16,58.34,28.81,57.4,13.62
4,2017-05-01 04:00:00,1982,10.54,180.4,14.67,22.55,58.26,28.81,56.71,13.62
5,2017-05-01 05:00:00,1983,8.85,198.8,16.05,19.61,56.44,28.81,56.76,13.62
6,2017-05-01 06:00:00,1984,12.41,244.6,17.84,26.69,54.38,28.83,56.76,13.62
7,2017-05-01 07:00:00,1985,8.86,236.4,17.42,17.72,52.24,28.85,55.53,13.62
8,2017-05-01 08:00:00,1986,8.24,214.3,13.38,16.25,52.51,28.84,56.12,13.61
9,2017-05-01 09:00:00,1987,8.29,199.5,17.21,16.56,53.59,28.83,57.44,13.61
10,2017-05-01 10:00:00,1988,11.99,208.8,16.59,23.78,55.66,28.82,62.62,13.61
11,2017-05-01 11:00:00,1989,12.08,223.8,15.25,24.34,55.58,28.81,61.41,13.62
12,2017-05-01 12:00:00,1990,14.55,249.8,14.36,27.81,57.5,28.79,64.71,13.62
13,2017-05-01 13:00:00,1991,15.77,226.9,19.12,30.41,54.63,28.8,64.16,13.49
14,2017-05-01 14:00:00,1992,18.07,216.9,14.56,34.37,51.79,28.82,59.04,13.48
15,2017-05-01 15:00:00,1993,16.31,220.4,21.09,35.91,52.49,28.82,58.3,13.49
16,2017-05-01 16:00:00,1994,11.92,226.4,18.04,23.43,49.76,28.83,55.53,13.49
17,2017-05-01 17:00:00,1995,13.91,217.9,15.02,29.6,50.42,28.84,54.14,13.65
18,2017-05-01 18:00:00,1996,18.01,216.6,13.41,32.65,50.24,28.85,52.78,13.49
19,2017-05-01 19:00:00,1997,14.92,222.4,16.67,30.79,49.35,28.86,51.95,14.4
20,2017-05-01 20:00:00,1998,14.52,227.7,18.02,29.21,48.84,28.87,51.46,14.46
21,2017-05-01 21:00:00,1999,13.83,245.3,15.99,27.78,46.5,28.89,51.01,13.62
22,2017-05-01 22:00:00,2000,12.59,238.5,14.45,25.04,46.43,28.9,48.82,13.56
23,2017-05-01 23:00:00,2001,13.78,242.1,15.03,25.32,45.6,28.89,48.78,13.48
24,2017-05-02 00:00:00,2002,13.98,246.2,14.19,25.92,45.36,28.89,48.74,13.62
25,2017-05-02 01:00:00,2003,16.45,247.4,18.02,32.65,44.75,28.89,48.38,14.42
26,2017-05-02 02:00:00,2004,15.2,253.5,14.97,27.04,44.43,28.89,47.18,13.66
27,2017-05-02 03:00:00,2005,16.7,251.2,14.63,30.44,44.32,28.89,47.1,13.62
28,2017-05-02 04:00:00,2006,13.79,257.0,13.92,27.29,42.74,28.92,46.51,14.42
29,2017-05-02 05:00:00,2007,14.61,258.3,14.16,29.04,42.24,28.94,44.61,13.48
30,2017-05-02 06:00:00,2008,14.09,264.7,13.3,24.2,41.98,28.96,44.33,14.53
31,2017-05-02 07:00:00,2009,13.77,261.8,14.32,25.6,42.07,28.99,44.45,14.53
32,2017-05-02 08:00:00,2010,14.38,266.4,13.4,26.13,43.05,29.01,46.79,14.51
33,2017-05-02 09:00:00,2011,13.9,269.6,14.04,24.24,44.6,29.03,49.51,14.47
34,2017-05-02 10:00:00,2012,14.32,269.5,14.07,27.64,45.45,29.06,50.6,14.4
35,2017-05-02 11:00:00,2013,14.21,276.4,15.66,25.81,45.91,29.09,51.3,14.42
36,2017-05-02 12:00:00,2014,16.06,281.5,15.38,27.95,46.48,29.13,53.02,14.28
37,2017-05-02 13:00:00,2015,14.5,276.8,14.59,32.19,48.43,29.15,55.7,13.48
38,2017-05-02 14:00:00,2016,13.44,273.8,15.53,25.53,49.38,29.18,55.82,13.61
39,2017-05-02 15:00:00,2017,13.78,275.6,14.75,26.23,49.6,29.2,55.15,13.61
