,TIMESTAMP,RECORD,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
0,2017-09-01 00:00:00,4930,11.72,92.5,21.91,24.66,65.75,29.51,66.95,13.61
1,2017-09-01 01:00:00,4931,10.91,96.6,23.74,25.18,64.34,29.51,65.13,13.61
2,2017-09-01 02:00:00,4932,9.16,98.8,28.19,23.61,62.58,29.52,63.71,13.6
3,2017-09-01 03:00:00,4933,11.02,97.4,22.76,26.97,61.54,29.53,61.81,13.62
4,2017-09-01 04:00:00,4934,11.27,87.3,21.92,25.67,60.24,29.52,60.57,13.6
5,2017-09-01 05:00:00,4935,9.69,87.7,22.88,22.52,58.67,29.53,59.34,13.62
6,2017-09-01 06:00:00,4936,10.18,87.9,22.0,22.45,57.55,29.54,57.7,13.6
7,2017-09-01 07:00:00,4937,10.52,81.3,20.12,23.15,58.48,29.56,58.86,13.6
8,2017-09-01 08:00:00,4938,9.55,78.7,19.92,19.23,58.89,29.56,60.31,13.6
9,2017-09-01 09:00:00,4939,9.17,74.03,19.65,18.98,60.34,29.55,66.62,13.62
10,2017-09-01 10:00:00,4940,9.49,72.3,20.19,18.24,61.22,29.55,71.45,13.62
11,2017-09-01 11:00:00,4941,9.14,77.66,21.49,17.05,62.98,29.54,78.21,13.62
12,2017-09-01 12:00:00,4942,8.17,65.72,21.83,16.28,64.51,29.53,80.3,13.63
13,2017-09-01 13:00:00,4943,9.49,57.43,22.84,17.4,65.68,29.52,82.1,13.63
14,2017-09-01 14:00:00,4944,9.95,44.62,24.44,17.79,66.64,29.51,81.6,13.63
15,2017-09-01 15:00:00,4945,10.25,44.75,23.06,19.47,67.93,29.5,80.9,13.63
16,2017-09-01 16:00:00,4946,10.01,39.42,20.17,18.49,67.94,29.49,79.47,13.63
17,2017-09-01 17:00:00,4947,9.33,41.53,19.53,16.91,67.45,29.48,78.05,13.63
18,2017-09-01 18:00:00,4948,7.849,46.24,18.24,16.0,67.32,29.48,75.49,13.63
19,2017-09-01 19:00:00,4949,6.876,54.01,19.47,15.41,67.04,29.47,72.3,13.63
20,2017-09-01 20:00:00,4950,5.993,75.82,22.06,14.49,67.39,29.47,67.38,13.63
21,2017-09-01 21:00:00,4951,6.166,87.5,23.72,15.97,66.46,29.48,65.64,13.63
22,2017-09-01 22:00:00,4952,6.88,89.5,24.59,15.62,65.85,29.48,64.44,13.63
23,2017-09-01 23:00:00,4953,6.851,90.4,26.82,15.86,64.91,29.47,64.12,13.63
24,2017-09-02 00:00:00,4954,6.597,97.1,29.81,15.86,64.16,29.46,63.21,13.63
25,2017-09-02 01:00:00,4955,4.457,120.2,33.63,17.02,62.44,29.46,61.9,13.62
26,2017-09-02 02:00:00,4956,3.415,116.8,33.73,9.8,60.7,29.45,59.78,13.62
27,2017-09-02 03:00:00,4957,4.947,101.0,37.4,13.09,60.07,29.44,58.13,13.62
28,2017-09-02 04:00:00,4958,6.083,87.1,23.0,13.72,60.42,29.43,58.0,13.62
29,2017-09-02 05:00:00,4959,4.71,81.5,23.07,11.3,60.28,29.43,58.0,13.62
30,2017-09-02 06:00:00,4960,3.228,75.67,28.62,8.92,59.41,29.44,57.66,13.62
31,2017-09-02 07:00:00,4961,2.567,103.3,95.0,8.08,59.83,29.44,58.99,13.62
32,2017-09-02 08:00:00,4962,3.085,91.3,95.7,8.68,61.43,29.44,62.08,13.6
33,2017-09-02 09:00:00,4963,5.005,39.61,34.43,11.2,62.91,29.44,71.4,13.6
34,2017-09-02 10:00:00,4964,5.563,14.72,31.87,12.43,64.53,29.43,78.05,13.6
35,2017-09-02 11:00:00,4965,6.379,30.62,30.31,13.13,65.64,29.41,83.0,13.61
36,2017-09-02 12:00:00,4966,7.472,47.56,27.73,13.3,66.18,29.4,83.5,13.63
